Name #1,Name #2,Event,Location,Stadt,Type,Year,Channel,Uploaded,URL,Views,ID,hidden,Processed
Aytee,Karanova,,,,Accapella,2025,DLTLLY,2025-03-16,https://www.youtube.com/watch?v=s501ewLwo1w,8473,s501ewLwo1w,Interview Berlin &#39;25,
Aytee,Karanova,,,,On Beat,2025,DLTLLY,2025-03-16,https://www.youtube.com/watch?v=SYo3zBQzwtQ,142384,SYo3zBQzwtQ,🏆 ON BEAT TITLE MATCH 2025 🏆,
KALP ONE,VALIK,,,,Accapella,2024,FOB,2025-03-14,https://www.youtube.com/watch?v=pJA2VSeUyrw,6610,pJA2VSeUyrw,RAP BATTLE,
Kato,Tobi High,DISSember 8,Festsaal Kreuzberg,Berlin,Accapella,2024,DLTLLY,2025-03-09,https://www.youtube.com/watch?v=KYE2dCsI8oU,84602,KYE2dCsI8oU,Title Match 2024 DISSember 8,
Kato,Tobi High,DISSember 8,Festsaal Kreuzberg,Berlin,Accapella,2025,DLTLLY,2025-03-09,https://www.youtube.com/watch?v=Se4aQd0xzL4,22897,Se4aQd0xzL4,Interview zum Title Match Dissember 8,
LUCKYLILY,T-WAY,Unbeatable,,,Accapella,2025,FOB,2025-03-07,https://www.youtube.com/watch?v=jogDDg8UrT0,9995,jogDDg8UrT0,RAP BATTLE,
Hiding John,Requiem,DISSember 8,Festsaal Kreuzberg,Berlin,Accapella,2025,DLTLLY,2025-03-02,https://www.youtube.com/watch?v=sVftXy-84ME,47587,sVftXy-84ME,  DISSember 8,
TICC,FEEL.IKX,Unbeatable,,,Accapella,2025,FOB,2025-02-28,https://www.youtube.com/watch?v=AFaZPkRlbVQ,4322,AFaZPkRlbVQ,RAP BATTLE,
Robscure,Karkobi,,,Kassel,Accapella,2025,DLTLLY,2025-02-23,https://www.youtube.com/watch?v=cPiNUjyXRv4,46153,cPiNUjyXRv4,  Kassel,
ALADIN,KOOZY,,,,Accapella,2025,FOB,2025-02-21,https://www.youtube.com/watch?v=90w3P4aaCew,5387,90w3P4aaCew,RAP BATTLE,
Requiem,Sizyphos,,,,Accapella,2025,DLTLLY,2025-02-16,https://www.youtube.com/watch?v=nkkgsZG1RTI,50515,nkkgsZG1RTI,  Freiburg &#39;24,
Requiem,Sizyphos,,,,Accapella,2025,DLTLLY,2025-02-16,https://www.youtube.com/watch?v=J0tMmTZQYlo,4317,J0tMmTZQYlo,Interview Freiburg,
MAZZIKANER & CASHUS K,LAZLO MXRPHINE & DOKTOR LUKAS FRANK,,,,Accapella,2025,FOB,2025-02-14,https://www.youtube.com/watch?v=3_KX2HILsCU,6025,3_KX2HILsCU,RAP BATTLE,
Davie Jones,Craze,,,,Accapella,2025,DLTLLY,2025-02-09,https://www.youtube.com/watch?v=cTXwSOqrZXY,62506,cTXwSOqrZXY,  Freiburg &#39;24,
Craze,Davie Jones,,,,Accapella,2025,DLTLLY,2025-02-09,https://www.youtube.com/watch?v=7Viv4hq0jEo,6696,7Viv4hq0jEo,Interview Freiburg &#39;24,
NOTYZZE,YUAH,,,,Accapella,2025,FOB,2025-02-07,https://www.youtube.com/watch?v=BvO2sdUm1q4,26670,BvO2sdUm1q4,RAP BATTLE,
Moody,Celune,,,,Accapella,2025,DLTLLY,2025-02-06,https://www.youtube.com/watch?v=wytgWL8RCEA,22771,wytgWL8RCEA,  Freiburg &#39;24,
Moody,Celune,,,,Accapella,2025,DLTLLY,2025-02-06,https://www.youtube.com/watch?v=e_BdozUEAf8,3350,e_BdozUEAf8,Interview Freiburg &#39;24,
Aytee,Karanova,,,,On Beat,2025,DLTLLY,2025-02-04,https://www.youtube.com/watch?v=Zp6mL0C23YM,11035,Zp6mL0C23YM,Title Match - Provokation  Only Berlin,
Shortworth,Young Kennedy,,,,Accapella,2025,DLTLLY,2025-02-02,https://www.youtube.com/watch?v=Jb7nLnvt9xk,948,Jb7nLnvt9xk,Interview Freiburg &#39;24,
Young Kennedy,Shortworth,,,,Accapella,2025,DLTLLY,2025-02-02,https://www.youtube.com/watch?v=AtYLF4rn1R8,13737,AtYLF4rn1R8,  Freiburg &#39;24,
HEINZ87,LATIK,,,,Accapella,2025,FOB,2025-01-31,https://www.youtube.com/watch?v=NDHVCiqnl1c,5137,NDHVCiqnl1c,RAP BATTLE,
Faivel,Riesenlauch,,,Freiburg,Accapella,2025,DLTLLY,2025-01-26,https://www.youtube.com/watch?v=5WnR6TDxAhg,14354,5WnR6TDxAhg,  Freiburg 24,
