Name #1,Name #2,Event,Location,Stadt,Type,Year,Channel,Uploaded,URL,Views,ID,hidden
TOLLSCHOCK,MALIK,,,,Accapella,2024,FOB,2024-04-21,https://www.youtube.com/watch?v=zH1kJVuX8QU,5900,zH1kJVuX8QU,ACAPELLA BATTLE
Bong Teggy,Karanova,,,,Accapella,2024,DLTLLY,2024-04-21,https://www.youtube.com/watch?v=nJxEfSgOaFE,7797,nJxEfSgOaFE,Interview Berlin
Karanova,Bong Teggy,,,Berlin,On Beat,2024,DLTLLY,2024-04-21,https://www.youtube.com/watch?v=LN1Lv62vzbI,62235,LN1Lv62vzbI,🏆 ON BEAT TITLE MATCH 🏆
MC GEUNER,BANDAN,,,,Accapella,2024,FOB,2024-04-19,https://www.youtube.com/watch?v=8W6w_1IMHSQ,11201,8W6w_1IMHSQ,ACAPELLA BATTLE
DOC,Mordrake,,,Berlin,On Beat,2024,DLTLLY,2024-04-19,https://www.youtube.com/watch?v=f-Cp3n-LCyw,8219,f-Cp3n-LCyw,Berlin
FABS,DUFF,,,,Accapella,2024,FOB,2024-04-12,https://www.youtube.com/watch?v=PGneFiKoVf4,14873,PGneFiKoVf4,ACAPELLA BATTLE
Tobi High,Meidi,,,Kassel,Accapella,2024,DLTLLY,2024-04-07,https://www.youtube.com/watch?v=SJ4P0J0u3o0,70120,SJ4P0J0u3o0,Kassel
Zeptah,Tokz,,,Berlin,On Beat,2024,DLTLLY,2024-04-07,https://www.youtube.com/watch?v=sGN8Hll0T3M,10817,sGN8Hll0T3M,Berlin
Yarambo,Karanova,,,Kassel,Accapella,2024,DLTLLY,2024-04-07,https://www.youtube.com/watch?v=JWaIWpR7cuA,62165,JWaIWpR7cuA,Kassel
Aladin,Shorteh Taunton,,,Berlin,On Beat,2024,DLTLLY,2024-04-05,https://www.youtube.com/watch?v=yf72pQ4T_ak,7694,yf72pQ4T_ak,Berlin
MC Maik,Snakeheadrhyme,,,Kassel,Accapella,2024,DLTLLY,2024-03-31,https://www.youtube.com/watch?v=meY3np8DlTQ,20352,meY3np8DlTQ,Kassel
LARA SOFT,M.F.L.,,,,On Beat,2024,FOB,2024-03-31,https://www.youtube.com/watch?v=CZXKeqr26RQ,6627,CZXKeqr26RQ,ON BEAT BATTLE
Dadda,Lazlo Mxrphine,,,Berlin,On Beat,2024,DLTLLY,2024-03-29,https://www.youtube.com/watch?v=xcw2vuJLPZs,61181,xcw2vuJLPZs,Berlin
CLOCKWORK,DADDA,,,,Accapella,2024,FOB,2024-03-24,https://www.youtube.com/watch?v=f2TI2M5UaXc,8962,f2TI2M5UaXc,ACAPELLA BATTLE
DANNY DEADWEIGHT,SKILLZ,,,,Accapella,2024,FOB,2024-03-24,https://www.youtube.com/watch?v=ehyGYTo24ro,4371,ehyGYTo24ro,ACAPELLA BATLLE
ONKEL FRÄNK,SHADYX,,,,Accapella,2024,FOB,2024-03-24,https://www.youtube.com/watch?v=wfBBTAqUHis,7097,wfBBTAqUHis,ACAPELLA BATTLE
FreeKno,Young Kennedy,,,Kassel,Accapella,2024,DLTLLY,2024-03-24,https://www.youtube.com/watch?v=GPMI--gNB08,13684,GPMI--gNB08,Kassel
SIZYPHOS,MOODY,,,,Accapella,2024,FOB,2024-03-24,https://www.youtube.com/watch?v=QYrhse-D5VI,21868,QYrhse-D5VI,ACAPELLA BATTLE
JOSEPH STEINSCHLEUDER,MORGANA,,,,On Beat,2024,FOB,2024-03-21,https://www.youtube.com/watch?v=fo8uzP3EIvw,13698,fo8uzP3EIvw,ON BEAT BATTLE
OREGANO,HIDING JOHN,,,,Accapella,2024,FOB,2024-03-18,https://www.youtube.com/watch?v=rAqwIxumi3s,43634,rAqwIxumi3s,ACAPELLA BATTLE
Zeuge,Niza,,,Kassel,Accapella,2024,DLTLLY,2024-03-17,https://www.youtube.com/watch?v=j6S8n5bSC4k,20353,j6S8n5bSC4k,Kassel
Karma,Kiruma,NRWeekend 6,,,Accapella,2024,DLTLLY,2024-03-17,https://www.youtube.com/watch?v=3PCiOm1e0F8,48390,3PCiOm1e0F8,NRWeekend 6
Der Sergeant,Diamond,Proving Grounds,Panke,Berlin,Accapella,2024,DLTLLY,2024-03-15,https://www.youtube.com/watch?v=YdQh67kKjA0,11753,YdQh67kKjA0,Proving Grounds
PABLO,YAAMANN,,,,On Beat,2024,FOB,2024-03-14,https://www.youtube.com/watch?v=AWCwWr_DDKI,8107,AWCwWr_DDKI,ON BEAT BATTLE
CSN Galactico,Nastic,Proving Grounds,Panke,Berlin,Accapella,2024,DLTLLY,2024-03-10,https://www.youtube.com/watch?v=jKHgj_RAMZA,16834,jKHgj_RAMZA,Proving Grounds
Vesso,Malik,Proving Grounds,Panke,Berlin,Accapella,2024,DLTLLY,2024-03-10,https://www.youtube.com/watch?v=iK-Oth0jFOo,6732,iK-Oth0jFOo,Proving Grounds
Moody,Ikks,Proving Grounds,Panke,Berlin,Accapella,2024,DLTLLY,2024-03-07,https://www.youtube.com/watch?v=oFHFbG4e604,6969,oFHFbG4e604,Proving Grounds
Jepain,Rolling G,Proving Grounds Vol. 5,Panke,Berlin,Accapella,2024,DLTLLY,2024-03-07,https://www.youtube.com/watch?v=1tMIG22ggG0,9610,1tMIG22ggG0,Proving Grounds
Sizyphos,Hiding John,DISSember 7,Festsaal Kreuzberg,Berlin,Accapella,2024,DLTLLY,2024-03-07,https://www.youtube.com/watch?v=LBbPEElYxGA,72572,LBbPEElYxGA,DISSember #7
ZATO,ZEPTAH,,,,On Beat,2024,FOB,2024-03-01,https://www.youtube.com/watch?v=nMeqvIpjfOE,6619,nMeqvIpjfOE,ON BEAT BATTLE
Belial,Kid Soldier,DISSember 7,Festsaal Kreuzberg,Berlin,Accapella,2024,DLTLLY,2024-02-25,https://www.youtube.com/watch?v=fN0PgIxzhC8,34596,fN0PgIxzhC8,DISSember #7
FREEZY,DADDA,,,,On Beat,2024,FOB,2024-02-23,https://www.youtube.com/watch?v=QBSRI86VMs8,12474,QBSRI86VMs8,ON BEAT BATTLE
The Saurus,Quill,DISSember 7,Festsaal Kreuzberg,Berlin,Accapella,2024,DLTLLY,2024-02-19,https://www.youtube.com/watch?v=9z2aEljjMtQ,10895,9z2aEljjMtQ,DISSember #7
KOOZY,MAN IN BLACK,,,,On Beat,2024,FOB,2024-02-09,https://www.youtube.com/watch?v=6_YUEKAjkng,8626,6_YUEKAjkng,ON BEAT BATTLE
Clockwork,Sachma,Proving Grounds,Panke,Berlin,Accapella,2024,DLTLLY,2024-02-09,https://www.youtube.com/watch?v=bwbDyjtPJCc,8037,bwbDyjtPJCc,Proving Grounds
CapcoJones,Cristosaurus Rex,Proving Grounds,Panke,Berlin,Accapella,2024,DLTLLY,2024-02-04,https://www.youtube.com/watch?v=NNUTrbddBwo,9303,NNUTrbddBwo,Proving Grounds
Ricochet,Riesenlauch,Proving Grounds,Panke,Berlin,Accapella,2024,DLTLLY,2024-02-04,https://www.youtube.com/watch?v=NjX3eisi5XU,10716,NjX3eisi5XU,Proving Grounds Berlin
Kato,Neilz,,,,Accapella,2024,DLTLLY,2024-02-04,https://www.youtube.com/watch?v=ykfHhWbi7Jk,69200,ykfHhWbi7Jk,🏆 TITLE MATCH 🏆
VYRUS,STEEL,,,,On Beat,2024,FOB,2024-02-02,https://www.youtube.com/watch?v=hupa7KpyOm8,43063,hupa7KpyOm8,ON BEAT TITLEMATCH
FAITH MC,ROLLING G,,,,Accapella,2024,FOB,2024-01-27,https://www.youtube.com/watch?v=AQ61cQjpA4U,6334,AQ61cQjpA4U,ACAPELLA BATTLE
ROOL,DAVID ARDOR,,,,Accapella,2024,FOB,2024-01-21,https://www.youtube.com/watch?v=_TQee46RR5U,2394,_TQee46RR5U,NEWCOMER BATTLE
FRAX ONE & DJANGO,NATALI & ALADIN,,,,Accapella,2024,FOB,2024-01-19,https://www.youtube.com/watch?v=6ZzLdfNphns,6439,6ZzLdfNphns,ACAPELLA BATTLE
JOSEPH STEINSCHLEUDER & ROMIK WRONG,ZEPTAH & ORPHXN,,,,On Beat,2024,FOB,2024-01-12,https://www.youtube.com/watch?v=hDQFXey6gXI,17646,hDQFXey6gXI,ON BEAT BATTLE
Heinz87 & Hiding John,Mazzikaner & Cashus K,,,,Accapella,2024,DLTLLY,2024-01-11,https://www.youtube.com/watch?v=Ue5h955l2Ew,23654,Ue5h955l2Ew,Hamburg
Yarambo,Karma,,,,Accapella,2024,DLTLLY,2024-01-11,https://www.youtube.com/watch?v=Y523u1xAcmo,54964,Y523u1xAcmo,Hamburg
Celune,Sizyphos,,,,Accapella,2024,DLTLLY,2024-01-11,https://www.youtube.com/watch?v=wwKW8EaM0W4,34163,wwKW8EaM0W4,Hamburg
Faivel,Bilal,,,,Accapella,2024,DLTLLY,2024-01-07,https://www.youtube.com/watch?v=mHPNeE8Tkbo,13536,mHPNeE8Tkbo,Hamburg
Holu,Moody,,,,Accapella,2023,DUDL,2024-01-06,https://www.youtube.com/watch?v=ZgVgROhjl5o,6017,ZgVgROhjl5o,Battle
Shizu,Morgana,,,,On Beat,2024,DLTLLY,2024-01-05,https://www.youtube.com/watch?v=uZC6ZAOqvss,17696,uZC6ZAOqvss,Hamburg
BURST & T-WAY,LEANDERS & DESPO,,,,Accapella,2024,FOB,2024-01-05,https://www.youtube.com/watch?v=_RaLw94QJSI,9045,_RaLw94QJSI,ACAPELLA BATTLE
KRISO,ILYA FLOYD,,,,Accapella,2023,FOB,2023-12-31,https://www.youtube.com/watch?v=eSLYneqD0vg,3528,eSLYneqD0vg,NEWCOMER BATTLE
Mc Geuner,T-Way,,Oma Doris,Dortmund,Accapella,2023,DLTLLY,2023-12-30,https://www.youtube.com/watch?v=rsMrgC9k9jk,18410,rsMrgC9k9jk,Dortmund
Notyzze,BanDan,,,,On Beat,2023,DLTLLY,2023-12-30,https://www.youtube.com/watch?v=ryfJjGNbbR8,18178,ryfJjGNbbR8,Wien
Onkel Oktomusch,Jindo109,,Oma Doris,Dortmund,Accapella,2023,DLTLLY,2023-12-30,https://www.youtube.com/watch?v=NXAh7HMMM-0,93325,NXAh7HMMM-0,Dortmund
Liuz,Herr Kuchen,,Oma Doris,Dortmund,Accapella,2023,DLTLLY,2023-12-30,https://www.youtube.com/watch?v=vPgMlVOgMYs,54613,vPgMlVOgMYs,Dortmund
Bilal,Joseph Steinschleuder,,,,Accapella,2023,DUDL,2023-12-30,https://www.youtube.com/watch?v=MmgJGhyrfbc,15775,MmgJGhyrfbc,Battle
Karkobi,Requiem,,,,Accapella,2023,DLTLLY,2023-12-30,https://www.youtube.com/watch?v=dpC_mfZVDrc,33745,dpC_mfZVDrc,Wien
Barbee & Flow,Fate & Joseph Steinschleuder,,,,Accapella,2023,DLTLLY,2023-12-30,https://www.youtube.com/watch?v=o0oMk_6Sj60,23611,o0oMk_6Sj60,2on2  Wien
Neilz,Kiruma,,Oma Doris,Dortmund,Accapella,2023,DLTLLY,2023-12-30,https://www.youtube.com/watch?v=k5MyH3qffzk,61983,k5MyH3qffzk,Dortmund
Flashus Christus,K9NE,,,,Accapella,2023,DLTLLY,2023-12-30,https://www.youtube.com/watch?v=chUp4X6Isbo,7256,chUp4X6Isbo,Wien
LUCKYLILY & BAYZE,CRAZE & MOITZ,,,,Accapella,2023,FOB,2023-12-28,https://www.youtube.com/watch?v=B7Ge3bBMaZ4,36568,B7Ge3bBMaZ4,ACAPELLA BATTLE
MORGANA,ZEPTAH,,,,On Beat,2023,FOB,2023-12-26,https://www.youtube.com/watch?v=VSjE_QHcZBU,7783,VSjE_QHcZBU,ON BEAT BATTLE
Kane,David Ardor,,,,Accapella,2023,DUDL,2023-12-23,https://www.youtube.com/watch?v=5NWHlFDIezw,3307,5NWHlFDIezw,Battle
CLOCKWORK,CSN GALACTICO,,,,Accapella,2023,FOB,2023-12-21,https://www.youtube.com/watch?v=8t_wR5YYayI,6369,8t_wR5YYayI,ACAPELLA BATTLE
SNAKEHEADRHYME,A-RON,,,,Accapella,2023,FOB,2023-12-17,https://www.youtube.com/watch?v=q4fXhfjI2ZU,9544,q4fXhfjI2ZU,ACAPELLA BATTLE
KIRUMA,HIDING JOHN,BRRRR!,,,Accapella,2023,FOB,2023-12-17,https://www.youtube.com/watch?v=-z8Kz8svvR4,55412,-z8Kz8svvR4,ACAPELLA BATTLE
KARKOBI,MOODY,,,,Accapella,2024,FOB,2023-12-17,https://www.youtube.com/watch?v=hvEti6vXuXY,14944,hvEti6vXuXY,ACAPELLA BATTLE
SHAOLUM,EZRA,,,,Accapella,2023,FOB,2023-12-10,https://www.youtube.com/watch?v=tzwE0B9OquY,4479,tzwE0B9OquY,ONE-ROUNDER
KahVauWeh,Jilly,,,,Accapella,2023,DUDL,2023-12-09,https://www.youtube.com/watch?v=0qrxZCr5CMg,4539,0qrxZCr5CMg,Battle
FREEKNO,MORGANA,,,,Accapella,2023,FOB,2023-12-08,https://www.youtube.com/watch?v=WtgPudDeZj8,6209,WtgPudDeZj8,ACAPELLA BATTLE
VYRUS,KARANOVA,,,,On Beat,2023,FOB,2023-12-01,https://www.youtube.com/watch?v=_rMFRoKcs6M,34328,_rMFRoKcs6M,ON BEAT BATTLE
MOODY,TECEY,,,,Accapella,2023,FOB,2023-11-26,https://www.youtube.com/watch?v=rbNeALMPEKo,3567,rbNeALMPEKo,ACAPELLA BATTLE
Schalle,Shortworth,,,,Accapella,2023,DLTLLY,2023-11-24,https://www.youtube.com/watch?v=3_aVuejj-KM,12131,3_aVuejj-KM,Wien
JOE PHARO,LITTLE SEDO,,,,Accapella,2023,FOB,2023-11-24,https://www.youtube.com/watch?v=5Z35PNEQB_I,9601,5Z35PNEQB_I,ACAPELLA BATTLE
Duff,Joe Pharo,,Oma Doris,Dortmund,Accapella,2023,DLTLLY,2023-11-22,https://www.youtube.com/watch?v=m0MkvcPDluI,24338,m0MkvcPDluI,Dortmund
NASTIC,STEEL,,,,On Beat,2023,FOB,2023-11-19,https://www.youtube.com/watch?v=w0kK3zXnnK0,80737,w0kK3zXnnK0,ON BEAT BATTLE
Wenzel Washington,Davis,,,,Accapella,2023,DLTLLY,2023-11-16,https://www.youtube.com/watch?v=BNOhkxQXuyM,11407,BNOhkxQXuyM,Wien
Belial,Julo,,Oma Doris,Dortmund,Accapella,2023,DLTLLY,2023-11-16,https://www.youtube.com/watch?v=I9J8qYJCcno,27741,I9J8qYJCcno,Dortmund
Grandmaster Flow,Kalp One,,,,Accapella,2023,DLTLLY,2023-11-16,https://www.youtube.com/watch?v=Kw40l5aHPI4,7910,Kw40l5aHPI4,Wien
JEPAIN,CELUNE,,,,Accapella,2023,FOB,2023-11-16,https://www.youtube.com/watch?v=01-L9OSECRY,8726,01-L9OSECRY,ACAPELLA BATTLE
BAYZE,M.F.L.,,,,Accapella,2023,FOB,2023-11-12,https://www.youtube.com/watch?v=paqgtJnfItw,8633,paqgtJnfItw,ACAPELLA BATTLE
KOOZY,ZEPTAH,,,,On Beat,2023,FOB,2023-11-10,https://www.youtube.com/watch?v=GGu6kpSltiw,9678,GGu6kpSltiw,ON BEAT BATTLE
LUCKYLILY,IKKS,,,,Accapella,2023,FOB,2023-11-10,https://www.youtube.com/watch?v=kgZww6Ailfs,11745,kgZww6Ailfs,ACAPELLA BATTLE
Aytee,Phasenkind,Living HipHop,,München,On Beat,2023,DLTLLY,2023-11-07,https://www.youtube.com/watch?v=E-5qSwv5Z0Q,150899,E-5qSwv5Z0Q,München
Notyzze,Pablo,Living HipHop,,München,On Beat,2023,DLTLLY,2023-11-07,https://www.youtube.com/watch?v=2oGok3bnO3g,28094,2oGok3bnO3g,München
Shizu,Mave,splash! 25,Splash,Ferropolis,Accapella,2023,DLTLLY,2023-11-07,https://www.youtube.com/watch?v=0VnFsg9akkE,18499,0VnFsg9akkE,splash! 25
Falki,Davie Jones,Living HipHop,,München,On Beat,2023,DLTLLY,2023-11-07,https://www.youtube.com/watch?v=PEZM8D30ogU,55427,PEZM8D30ogU,München
N'antinein,Bahamakarma,splash! 25,Splash,Ferropolis,On Beat,2023,DLTLLY,2023-11-07,https://www.youtube.com/watch?v=hxlKFtVRKTw,18192,hxlKFtVRKTw,splash! 25
