Name #1,Name #2,Event,Type,Year,Channel,Uploaded,URL,ID,Views,Location,Stadt,Event 2
BlaDesa,Calli,  Tapefabrik,Accapella,2025,DLTLLY,2025-09-30,https://www.youtube.com/watch?v=rUTpW0OuRUQ,rUTpW0OuRUQ,5159,,,
BlaDesa,Calli,INTERVIEW Tapefabrik,Accapella,2025,DLTLLY,2025-09-30,https://www.youtube.com/watch?v=oWDx4eWUlvI,oWDx4eWUlvI,674,,,
Kato & Ryko J,CashisClay & 4Tune,  Splash 2025!,Accapella,2025,DLTLLY,2025-09-28,https://www.youtube.com/watch?v=rRlHL7A6GsY,rRlHL7A6GsY,11618,,,
TOBO,JAVAS,RAP BATTLE,Accapella,2025,FOB,2025-09-26,https://www.youtube.com/watch?v=aS2dhmR_Q9U,aS2dhmR_Q9U,2404,,,
Lara Soft,Freezy,  Taped!,Accapella,2025,DLTLLY,2025-09-23,https://www.youtube.com/watch?v=_luCDi3t-3w,_luCDi3t-3w,11866,,,
Fate & Sh@wdy Sh@f,Cashus K & Mazzikaner,  Feel,Accapella,2025,DLTLLY,2025-09-21,https://www.youtube.com/watch?v=r794ZPxMINc,r794ZPxMINc,19130,,,
TOMMY GUN,T-WAY,RAP BATTLE,Accapella,2025,FOB,2025-09-19,https://www.youtube.com/watch?v=w61w1samU4k,w61w1samU4k,3814,,,
Jepain,Papa TR,  Freiburg,Accapella,2025,DLTLLY,2025-09-14,https://www.youtube.com/watch?v=Q8hyICBnNQI,Q8hyICBnNQI,11080,,,
MUSIO,TOLLSCHOCK,RAP BATTLE,Accapella,2025,FOB,2025-09-12,https://www.youtube.com/watch?v=XjPwbYieUQs,XjPwbYieUQs,7282,,,
Capco Jonnes,Riesenlauch,  Freiburg,Accapella,2025,DLTLLY,2025-09-07,https://www.youtube.com/watch?v=nKZSBk5adnI,nKZSBk5adnI,12963,,,
RIMA,MANEK,RAP BATTLE,Accapella,2025,FOB,2025-09-07,https://www.youtube.com/watch?v=Wn_Tm08TPlo,Wn_Tm08TPlo,3574,,,
FAIVEL,YUNA L,RAP BATTLE,Accapella,2025,FOB,2025-09-05,https://www.youtube.com/watch?v=J0nUHgX5410,J0nUHgX5410,8639,,,
Bdad,Kato,Interview Event Name oder Stadt,Accapella,2025,DLTLLY,2025-08-31,https://www.youtube.com/watch?v=BaWlVU_CqR0,BaWlVU_CqR0,8927,,,
BAULT,SILVER,RAP BATTLE,Accapella,2025,FOB,2025-08-31,https://www.youtube.com/watch?v=SzXSJYcHl80,SzXSJYcHl80,3540,,,
Bdad,Kato,  Freiburg,Accapella,2025,DLTLLY,2025-08-30,https://www.youtube.com/watch?v=GpW1688ARg0,GpW1688ARg0,56117,,,
JIZI,KEULE257,RAP BATTLE,Accapella,2025,FOB,2025-08-29,https://www.youtube.com/watch?v=PlRe0-7MdtE,PlRe0-7MdtE,28213,,,
BanDan,Aladin,  Wien,Accapella,2025,DLTLLY,2025-08-28,https://www.youtube.com/watch?v=MmlbdfDGL_M,MmlbdfDGL_M,6388,,,
L-SUPREMA,LYT,RAP BATTLE,Accapella,2025,FOB,2025-08-24,https://www.youtube.com/watch?v=f4lsqfYo37M,f4lsqfYo37M,3611,,,
Shortworth,Ryko-J,  Freiburg,Accapella,2025,DLTLLY,2025-08-24,https://www.youtube.com/watch?v=smdHGVGCCF0,smdHGVGCCF0,31580,,,
LIUZ,DESPO,RAP BATTLE,Accapella,2025,FOB,2025-08-22,https://www.youtube.com/watch?v=22XkM2AtGc4,22XkM2AtGc4,5696,,,
Frax One,Danny Deadweight,  Proving Grounds,Accapella,2025,DLTLLY,2025-08-21,https://www.youtube.com/watch?v=8DkFnov9Fow,8DkFnov9Fow,5472,,,
Notyzze,Yuah,Freestyle Battle NRWeekend 8,Accapella,2025,DLTLLY,2025-08-20,https://www.youtube.com/watch?v=rPs1RarY43I,rPs1RarY43I,12161,,,
Duff,MC Geuner,  Freiburg,Accapella,2025,DLTLLY,2025-08-19,https://www.youtube.com/watch?v=A8B7NIVqUlg,A8B7NIVqUlg,20170,,,
TRIPLE,RALLE,RAP BATTLE,Accapella,2025,FOB,2025-08-17,https://www.youtube.com/watch?v=VlMReN-CMX0,VlMReN-CMX0,3011,,,
Wolff,Hiding John,Title Contender Match Freiburg,Accapella,2025,DLTLLY,2025-08-17,https://www.youtube.com/watch?v=p46mDmjoHfg,p46mDmjoHfg,60565,,,
TICC,ROOL,RAP BATTLE,Accapella,2025,FOB,2025-08-15,https://www.youtube.com/watch?v=NyoxA5ATQ3w,NyoxA5ATQ3w,4113,,,
TRACY,MZUDEMK,GAME CHANGER VIERTELFINALE,Accapella,2025,FOB,2025-08-10,https://www.youtube.com/watch?v=QyQ2poDBDYM,QyQ2poDBDYM,12100,,,
AMS,JÄL,GAME CHANGER VIERTELFINALE,Accapella,2025,FOB,2025-08-09,https://www.youtube.com/watch?v=eZLTR2OLG7M,eZLTR2OLG7M,9178,,,
ENYO,DER SANDMANN,GAME CHANGER VIERTELFINALE,Accapella,2025,FOB,2025-08-08,https://www.youtube.com/watch?v=IWWtO2HfY8g,IWWtO2HfY8g,8352,,,
H1,VON FELIX,GAME CHANGER VIERTELFINALE,Accapella,2025,FOB,2025-08-05,https://www.youtube.com/watch?v=r5JmVhtUvho,r5JmVhtUvho,11028,,,
REQUIEM,VYRUS,RAP BATTLE,Accapella,2025,FOB,2025-08-01,https://www.youtube.com/watch?v=1RahrZ7_-48,1RahrZ7_-48,18840,,,
YUAH,ILHAN,RAP BATTLE,Accapella,2025,FOB,2025-07-25,https://www.youtube.com/watch?v=_CDt4MYPi9w,_CDt4MYPi9w,11121,,,
STEEL,MORGANA,ON BEAT TITLE MATCH,On Beat,2025,FOB,2025-07-18,https://www.youtube.com/watch?v=nFIMoUOATCw,nFIMoUOATCw,21667,,,
KIRUMA,WOLFF,RAP BATTLE,Accapella,2025,FOB,2025-07-11,https://www.youtube.com/watch?v=cpaSwgCqRaU,cpaSwgCqRaU,53076,,,
RIESENLAUCH,PALEIACCI,RAP BATTLE,Accapella,2025,FOB,2025-07-06,https://www.youtube.com/watch?v=PFt4LwqBAsU,PFt4LwqBAsU,7595,,,
NATALI,SNAKEHEADRHYME,RAP BATTLE,Accapella,2025,FOB,2025-07-04,https://www.youtube.com/watch?v=-8W4n_PWzAA,-8W4n_PWzAA,12534,,,
JOSEPH STEINSCHLEUDER,HARLEM T,RAP BATTLE,Accapella,2025,FOB,2025-06-27,https://www.youtube.com/watch?v=j6NgJDz5Pac,j6NgJDz5Pac,30196,,,
Jilly,SIC68,  Proving Grounds,Accapella,2025,DLTLLY,2025-06-24,https://www.youtube.com/watch?v=uE5ThbpbSck,uE5ThbpbSck,5859,,,
Despo,Shorteh Taunton,   Only,On Beat,2025,DLTLLY,2025-06-23,https://www.youtube.com/watch?v=9btj3F3T-oo,9btj3F3T-oo,6823,,,
Faivel,Mellow,  WIEN,Accapella,2025,DLTLLY,2025-06-22,https://www.youtube.com/watch?v=tCdymUD7qjk,tCdymUD7qjk,9137,,,
MC GEUNER,KRISO,RAP BATTLE,Accapella,2025,FOB,2025-06-20,https://www.youtube.com/watch?v=PJJZYHWUjUg,PJJZYHWUjUg,9981,,,
Lazlo Mxrphine,Mighty P.,   Only,On Beat,2025,DLTLLY,2025-06-19,https://www.youtube.com/watch?v=5O4q1loFp_Q,5O4q1loFp_Q,18407,,,
Gundalf,Purp Division,  Proving Grounds,Accapella,2025,DLTLLY,2025-06-17,https://www.youtube.com/watch?v=si8gDwlPxEo,si8gDwlPxEo,8733,,,
Riesenlauch,Tyler Bourbon,  Wien,Accapella,2025,DLTLLY,2025-06-15,https://www.youtube.com/watch?v=ohUZmNFrR3g,ohUZmNFrR3g,11614,,,
MOODY,YOUNG KENNEDY,RAP BATTLE,Accapella,2025,FOB,2025-06-13,https://www.youtube.com/watch?v=BqM7oeYeegs,BqM7oeYeegs,6677,,,
Joseph Steinschleuder,Pamflit,International  NRWeekend 8,Accapella,2025,DLTLLY,2025-06-07,https://www.youtube.com/watch?v=uXTSyzP-XI0,uXTSyzP-XI0,27094,,,
EYNAK,WANDELBARZ,RAP BATTLE,Accapella,2025,FOB,2025-06-06,https://www.youtube.com/watch?v=R81FPAW0Cy8,R81FPAW0Cy8,9310,,,
Ticc,Mordrake,Only! Panke Berlin,On Beat,2025,DLTLLY,2025-06-05,https://www.youtube.com/watch?v=KCDHP8wl1RM,KCDHP8wl1RM,11389,,,
RYKO-J,LUCKYLILY,  NRWeekend 8,Accapella,2025,DLTLLY,2025-06-01,https://www.youtube.com/watch?v=QApiZWI3i6U,QApiZWI3i6U,52748,,,
YUMI,DER SANDMANN,RAP BATTLE,Accapella,2025,FOB,2025-06-01,https://www.youtube.com/watch?v=NCYKUvpxs-s,NCYKUvpxs-s,4941,,,
Ryko-J,LuckyLily,INTERVIEW NRWeekend 8,Accapella,2025,DLTLLY,2025-06-01,https://www.youtube.com/watch?v=9gVR1RPK4cY,9gVR1RPK4cY,10984,,,
H1,MÄST,RAP BATTLE,Accapella,2025,FOB,2025-05-30,https://www.youtube.com/watch?v=KiFGlNKnLw8,KiFGlNKnLw8,6243,,,
Gerro,TOKZ,  Berlin,On Beat,2025,DLTLLY,2025-05-29,https://www.youtube.com/watch?v=qO64q_vBrqU,qO64q_vBrqU,12832,,,
Vyrus,Snakeheadrhyme,  NRWeekend 8,Accapella,2025,DLTLLY,2025-05-25,https://www.youtube.com/watch?v=TaYG3fYqX6c,TaYG3fYqX6c,26189,,,
Vyrus,Snakeheadrhyme,INTERVIEW NRWeekend 8,Accapella,2025,DLTLLY,2025-05-25,https://www.youtube.com/watch?v=HzaSD52w0qw,HzaSD52w0qw,1942,,,
VON FELIX,TESSTIMONY,RAP BATTLE,Accapella,2025,FOB,2025-05-25,https://www.youtube.com/watch?v=L51lZHRiuYc,L51lZHRiuYc,7498,,,
AMS,KAZRAEL,RAP BATTLE,Accapella,2025,FOB,2025-05-23,https://www.youtube.com/watch?v=Ioq_13OB1Vg,Ioq_13OB1Vg,6692,,,
Herr Sören,Johnny Schewski,Battle Panke Berlin,On Beat,2025,DLTLLY,2025-05-22,https://www.youtube.com/watch?v=5QWp-ZmPxFw,5QWp-ZmPxFw,7256,,,
