Name #1,Name #2,Event,Location,Stadt,Type,Year,Channel,Uploaded,URL,Views,ID,hidden,Processed
Fate & Sh@wdy Sh@f,Cashus K & Mazzikaner,,,,Accapella,2025,DLTLLY,2025-09-21,https://www.youtube.com/watch?v=r794ZPxMINc,89,r794ZPxMINc,  Feel,
TOMMY GUN,T-WAY,,,,Accapella,2025,FOB,2025-09-19,https://www.youtube.com/watch?v=w61w1samU4k,2564,w61w1samU4k,RAP BATTLE,
Jepain,Papa TR,,,,Accapella,2025,DLTLLY,2025-09-14,https://www.youtube.com/watch?v=Q8hyICBnNQI,10057,Q8hyICBnNQI,  Freiburg,
MUSIO,TOLLSCHOCK,,,,Accapella,2025,FOB,2025-09-12,https://www.youtube.com/watch?v=XjPwbYieUQs,6735,XjPwbYieUQs,RAP BATTLE,
Capco Jonnes,Riesenlauch,,,,Accapella,2025,DLTLLY,2025-09-07,https://www.youtube.com/watch?v=nKZSBk5adnI,12440,nKZSBk5adnI,  Freiburg,
RIMA,MANEK,,,,Accapella,2025,FOB,2025-09-07,https://www.youtube.com/watch?v=Wn_Tm08TPlo,3449,Wn_Tm08TPlo,RAP BATTLE,
FAIVEL,YUNA L,,,,Accapella,2025,FOB,2025-09-05,https://www.youtube.com/watch?v=J0nUHgX5410,8059,J0nUHgX5410,RAP BATTLE,
Bdad,Kato,,,,Accapella,2025,DLTLLY,2025-08-31,https://www.youtube.com/watch?v=BaWlVU_CqR0,8764,BaWlVU_CqR0,Interview Event Name oder Stadt,
BAULT,SILVER,,,,Accapella,2025,FOB,2025-08-31,https://www.youtube.com/watch?v=SzXSJYcHl80,3407,SzXSJYcHl80,RAP BATTLE,
Bdad,Kato,,,,Accapella,2025,DLTLLY,2025-08-30,https://www.youtube.com/watch?v=GpW1688ARg0,52520,GpW1688ARg0,  Freiburg,
JIZI,KEULE257,,,,Accapella,2025,FOB,2025-08-29,https://www.youtube.com/watch?v=PlRe0-7MdtE,27110,PlRe0-7MdtE,RAP BATTLE,
BanDan,Aladin,,,,Accapella,2025,DLTLLY,2025-08-28,https://www.youtube.com/watch?v=MmlbdfDGL_M,6099,MmlbdfDGL_M,  Wien,
L-SUPREMA,LYT,,,,Accapella,2025,FOB,2025-08-24,https://www.youtube.com/watch?v=f4lsqfYo37M,3545,f4lsqfYo37M,RAP BATTLE,
Shortworth,Ryko-J,,,,Accapella,2025,DLTLLY,2025-08-24,https://www.youtube.com/watch?v=smdHGVGCCF0,30367,smdHGVGCCF0,  Freiburg,
LIUZ,DESPO,,,,Accapella,2025,FOB,2025-08-22,https://www.youtube.com/watch?v=22XkM2AtGc4,5618,22XkM2AtGc4,RAP BATTLE,
Frax One,Danny Deadweight,,,,Accapella,2025,DLTLLY,2025-08-21,https://www.youtube.com/watch?v=8DkFnov9Fow,5402,8DkFnov9Fow,  Proving Grounds,
Notyzze,Yuah,,,,Accapella,2025,DLTLLY,2025-08-20,https://www.youtube.com/watch?v=rPs1RarY43I,11371,rPs1RarY43I,Freestyle Battle NRWeekend 8,
Duff,MC Geuner,,,,Accapella,2025,DLTLLY,2025-08-19,https://www.youtube.com/watch?v=A8B7NIVqUlg,19679,A8B7NIVqUlg,  Freiburg,
TRIPLE,RALLE,,,,Accapella,2025,FOB,2025-08-17,https://www.youtube.com/watch?v=VlMReN-CMX0,2967,VlMReN-CMX0,RAP BATTLE,
Wolff,Hiding John,,,,Accapella,2025,DLTLLY,2025-08-17,https://www.youtube.com/watch?v=p46mDmjoHfg,59044,p46mDmjoHfg,Title Contender Match Freiburg,
TICC,ROOL,,,,Accapella,2025,FOB,2025-08-15,https://www.youtube.com/watch?v=NyoxA5ATQ3w,4036,NyoxA5ATQ3w,RAP BATTLE,
TRACY,MZUDEMK,,,,Accapella,2025,FOB,2025-08-10,https://www.youtube.com/watch?v=QyQ2poDBDYM,11784,QyQ2poDBDYM,GAME CHANGER VIERTELFINALE,
AMS,JÄL,,,,Accapella,2025,FOB,2025-08-09,https://www.youtube.com/watch?v=eZLTR2OLG7M,9083,eZLTR2OLG7M,GAME CHANGER VIERTELFINALE,
ENYO,DER SANDMANN,,,,Accapella,2025,FOB,2025-08-08,https://www.youtube.com/watch?v=IWWtO2HfY8g,8284,IWWtO2HfY8g,GAME CHANGER VIERTELFINALE,
H1,VON FELIX,,,,Accapella,2025,FOB,2025-08-05,https://www.youtube.com/watch?v=r5JmVhtUvho,10898,r5JmVhtUvho,GAME CHANGER VIERTELFINALE,
REQUIEM,VYRUS,,,,Accapella,2025,FOB,2025-08-01,https://www.youtube.com/watch?v=1RahrZ7_-48,18626,1RahrZ7_-48,RAP BATTLE,
YUAH,ILHAN,,,,Accapella,2025,FOB,2025-07-25,https://www.youtube.com/watch?v=_CDt4MYPi9w,11024,_CDt4MYPi9w,RAP BATTLE,
STEEL,MORGANA,,,,On Beat,2025,FOB,2025-07-18,https://www.youtube.com/watch?v=nFIMoUOATCw,21365,nFIMoUOATCw,ON BEAT TITLE MATCH,
KIRUMA,WOLFF,,,,Accapella,2025,FOB,2025-07-11,https://www.youtube.com/watch?v=cpaSwgCqRaU,52470,cpaSwgCqRaU,RAP BATTLE,
RIESENLAUCH,PALEIACCI,,,,Accapella,2025,FOB,2025-07-06,https://www.youtube.com/watch?v=PFt4LwqBAsU,7569,PFt4LwqBAsU,RAP BATTLE,
NATALI,SNAKEHEADRHYME,,,,Accapella,2025,FOB,2025-07-04,https://www.youtube.com/watch?v=-8W4n_PWzAA,12482,-8W4n_PWzAA,RAP BATTLE,
JOSEPH STEINSCHLEUDER,HARLEM T,,,,Accapella,2025,FOB,2025-06-27,https://www.youtube.com/watch?v=j6NgJDz5Pac,29768,j6NgJDz5Pac,RAP BATTLE,
Jilly,SIC68,,,,Accapella,2025,DLTLLY,2025-06-24,https://www.youtube.com/watch?v=uE5ThbpbSck,5844,uE5ThbpbSck,  Proving Grounds,
Despo,Shorteh Taunton,,,,On Beat,2025,DLTLLY,2025-06-23,https://www.youtube.com/watch?v=9btj3F3T-oo,6727,9btj3F3T-oo,   Only,
Faivel,Mellow,,,,Accapella,2025,DLTLLY,2025-06-22,https://www.youtube.com/watch?v=tCdymUD7qjk,9112,tCdymUD7qjk,  WIEN,
