Name #1,Name #2,Event,Type,Year,Channel,Uploaded,URL,ID,Views,Location,Stadt,Event 2
Lara Soft,Freezy,  Taped!,Accapella,2025,DLTLLY,2025-09-23,https://www.youtube.com/watch?v=_luCDi3t-3w,_luCDi3t-3w,5405,,,
Fate & Sh@wdy Sh@f,Cashus K & Mazzikaner,  Feel,Accapella,2025,DLTLLY,2025-09-21,https://www.youtube.com/watch?v=r794ZPxMINc,r794ZPxMINc,12464,,,
TOMMY GUN,T-WAY,RAP BATTLE,Accapella,2025,FOB,2025-09-19,https://www.youtube.com/watch?v=w61w1samU4k,w61w1samU4k,3231,,,
Jepain,Papa TR,  Freiburg,Accapella,2025,DLTLLY,2025-09-14,https://www.youtube.com/watch?v=Q8hyICBnNQI,Q8hyICBnNQI,10467,,,
MUSIO,TOLLSCHOCK,RAP BATTLE,Accapella,2025,FOB,2025-09-12,https://www.youtube.com/watch?v=XjPwbYieUQs,XjPwbYieUQs,6914,,,
Capco Jonnes,Riesenlauch,  Freiburg,Accapella,2025,DLTLLY,2025-09-07,https://www.youtube.com/watch?v=nKZSBk5adnI,nKZSBk5adnI,12621,,,
RIMA,MANEK,RAP BATTLE,Accapella,2025,FOB,2025-09-07,https://www.youtube.com/watch?v=Wn_Tm08TPlo,Wn_Tm08TPlo,3490,,,
FAIVEL,YUNA L,RAP BATTLE,Accapella,2025,FOB,2025-09-05,https://www.youtube.com/watch?v=J0nUHgX5410,J0nUHgX5410,8229,,,
BAULT,SILVER,RAP BATTLE,Accapella,2025,FOB,2025-08-31,https://www.youtube.com/watch?v=SzXSJYcHl80,SzXSJYcHl80,3448,,,
Bdad,Kato,Interview Event Name oder Stadt,Accapella,2025,DLTLLY,2025-08-31,https://www.youtube.com/watch?v=BaWlVU_CqR0,BaWlVU_CqR0,8815,,,
Bdad,Kato,  Freiburg,Accapella,2025,DLTLLY,2025-08-30,https://www.youtube.com/watch?v=GpW1688ARg0,GpW1688ARg0,53452,,,
JIZI,KEULE257,RAP BATTLE,Accapella,2025,FOB,2025-08-29,https://www.youtube.com/watch?v=PlRe0-7MdtE,PlRe0-7MdtE,27443,,,
BanDan,Aladin,  Wien,Accapella,2025,DLTLLY,2025-08-28,https://www.youtube.com/watch?v=MmlbdfDGL_M,MmlbdfDGL_M,6191,,,
Shortworth,Ryko-J,  Freiburg,Accapella,2025,DLTLLY,2025-08-24,https://www.youtube.com/watch?v=smdHGVGCCF0,smdHGVGCCF0,30712,,,
L-SUPREMA,LYT,RAP BATTLE,Accapella,2025,FOB,2025-08-24,https://www.youtube.com/watch?v=f4lsqfYo37M,f4lsqfYo37M,3554,,,
LIUZ,DESPO,RAP BATTLE,Accapella,2025,FOB,2025-08-22,https://www.youtube.com/watch?v=22XkM2AtGc4,22XkM2AtGc4,5639,,,
Frax One,Danny Deadweight,  Proving Grounds,Accapella,2025,DLTLLY,2025-08-21,https://www.youtube.com/watch?v=8DkFnov9Fow,8DkFnov9Fow,5423,,,
Notyzze,Yuah,Freestyle Battle NRWeekend 8,Accapella,2025,DLTLLY,2025-08-20,https://www.youtube.com/watch?v=rPs1RarY43I,rPs1RarY43I,11561,,,
Duff,MC Geuner,  Freiburg,Accapella,2025,DLTLLY,2025-08-19,https://www.youtube.com/watch?v=A8B7NIVqUlg,A8B7NIVqUlg,19794,,,
TRIPLE,RALLE,RAP BATTLE,Accapella,2025,FOB,2025-08-17,https://www.youtube.com/watch?v=VlMReN-CMX0,VlMReN-CMX0,2981,,,
Wolff,Hiding John,Title Contender Match Freiburg,Accapella,2025,DLTLLY,2025-08-17,https://www.youtube.com/watch?v=p46mDmjoHfg,p46mDmjoHfg,59425,,,
TICC,ROOL,RAP BATTLE,Accapella,2025,FOB,2025-08-15,https://www.youtube.com/watch?v=NyoxA5ATQ3w,NyoxA5ATQ3w,4063,,,
TRACY,MZUDEMK,GAME CHANGER VIERTELFINALE,Accapella,2025,FOB,2025-08-10,https://www.youtube.com/watch?v=QyQ2poDBDYM,QyQ2poDBDYM,11870,,,
AMS,JÄL,GAME CHANGER VIERTELFINALE,Accapella,2025,FOB,2025-08-09,https://www.youtube.com/watch?v=eZLTR2OLG7M,eZLTR2OLG7M,9113,,,
ENYO,DER SANDMANN,GAME CHANGER VIERTELFINALE,Accapella,2025,FOB,2025-08-08,https://www.youtube.com/watch?v=IWWtO2HfY8g,IWWtO2HfY8g,8319,,,
H1,VON FELIX,GAME CHANGER VIERTELFINALE,Accapella,2025,FOB,2025-08-05,https://www.youtube.com/watch?v=r5JmVhtUvho,r5JmVhtUvho,10945,,,
REQUIEM,VYRUS,RAP BATTLE,Accapella,2025,FOB,2025-08-01,https://www.youtube.com/watch?v=1RahrZ7_-48,1RahrZ7_-48,18681,,,
YUAH,ILHAN,RAP BATTLE,Accapella,2025,FOB,2025-07-25,https://www.youtube.com/watch?v=_CDt4MYPi9w,_CDt4MYPi9w,11049,,,
STEEL,MORGANA,ON BEAT TITLE MATCH,On Beat,2025,FOB,2025-07-18,https://www.youtube.com/watch?v=nFIMoUOATCw,nFIMoUOATCw,21446,,,
KIRUMA,WOLFF,RAP BATTLE,Accapella,2025,FOB,2025-07-11,https://www.youtube.com/watch?v=cpaSwgCqRaU,cpaSwgCqRaU,52592,,,
RIESENLAUCH,PALEIACCI,RAP BATTLE,Accapella,2025,FOB,2025-07-06,https://www.youtube.com/watch?v=PFt4LwqBAsU,PFt4LwqBAsU,7574,,,
NATALI,SNAKEHEADRHYME,RAP BATTLE,Accapella,2025,FOB,2025-07-04,https://www.youtube.com/watch?v=-8W4n_PWzAA,-8W4n_PWzAA,12498,,,
JOSEPH STEINSCHLEUDER,HARLEM T,RAP BATTLE,Accapella,2025,FOB,2025-06-27,https://www.youtube.com/watch?v=j6NgJDz5Pac,j6NgJDz5Pac,29853,,,
Jilly,SIC68,  Proving Grounds,Accapella,2025,DLTLLY,2025-06-24,https://www.youtube.com/watch?v=uE5ThbpbSck,uE5ThbpbSck,5849,,,
Despo,Shorteh Taunton,   Only,On Beat,2025,DLTLLY,2025-06-23,https://www.youtube.com/watch?v=9btj3F3T-oo,9btj3F3T-oo,6747,,,
Faivel,Mellow,  WIEN,Accapella,2025,DLTLLY,2025-06-22,https://www.youtube.com/watch?v=tCdymUD7qjk,tCdymUD7qjk,9118,,,
MC GEUNER,KRISO,RAP BATTLE,Accapella,2025,FOB,2025-06-20,https://www.youtube.com/watch?v=PJJZYHWUjUg,PJJZYHWUjUg,9946,,,
Lazlo Mxrphine,Mighty P.,   Only,On Beat,2025,DLTLLY,2025-06-19,https://www.youtube.com/watch?v=5O4q1loFp_Q,5O4q1loFp_Q,18069,,,
Gundalf,Purp Division,  Proving Grounds,Accapella,2025,DLTLLY,2025-06-17,https://www.youtube.com/watch?v=si8gDwlPxEo,si8gDwlPxEo,8716,,,
Riesenlauch,Tyler Bourbon,  Wien,Accapella,2025,DLTLLY,2025-06-15,https://www.youtube.com/watch?v=ohUZmNFrR3g,ohUZmNFrR3g,11586,,,
MOODY,YOUNG KENNEDY,RAP BATTLE,Accapella,2025,FOB,2025-06-13,https://www.youtube.com/watch?v=BqM7oeYeegs,BqM7oeYeegs,6664,,,
Joseph Steinschleuder,Pamflit,International  NRWeekend 8,Accapella,2025,DLTLLY,2025-06-07,https://www.youtube.com/watch?v=uXTSyzP-XI0,uXTSyzP-XI0,26905,,,
EYNAK,WANDELBARZ,RAP BATTLE,Accapella,2025,FOB,2025-06-06,https://www.youtube.com/watch?v=R81FPAW0Cy8,R81FPAW0Cy8,9302,,,
Ticc,Mordrake,Only! Panke Berlin,On Beat,2025,DLTLLY,2025-06-05,https://www.youtube.com/watch?v=KCDHP8wl1RM,KCDHP8wl1RM,11308,,,
Ryko-J,LuckyLily,INTERVIEW NRWeekend 8,Accapella,2025,DLTLLY,2025-06-01,https://www.youtube.com/watch?v=9gVR1RPK4cY,9gVR1RPK4cY,10899,,,
YUMI,DER SANDMANN,RAP BATTLE,Accapella,2025,FOB,2025-06-01,https://www.youtube.com/watch?v=NCYKUvpxs-s,NCYKUvpxs-s,4923,,,
