Name #1,Name #2,Event,Location,Stadt,Type,Year,Channel,Uploaded,URL,Views,ID,hidden,Processed
Kato,Tobi High,,,,Accapella,2024,DLTLLY,2025-03-09,https://www.youtube.com/watch?v=KYE2dCsI8oU,42851,KYE2dCsI8oU,Title Match 2024 DISSember 8,
Kato,Tobi High,,,,Accapella,2025,DLTLLY,2025-03-09,https://www.youtube.com/watch?v=Se4aQd0xzL4,11382,Se4aQd0xzL4,Interview zum Title Match Dissember 8,
LUCKYLILY,T-WAY,,,,Accapella,2025,FOB,2025-03-07,https://www.youtube.com/watch?v=jogDDg8UrT0,5138,jogDDg8UrT0,RAP BATTLE,
Hiding John,Requiem,,,,Accapella,2025,DLTLLY,2025-03-02,https://www.youtube.com/watch?v=sVftXy-84ME,36547,sVftXy-84ME,  DISSember 8,
TICC,FEEL.IKX,,,,Accapella,2025,FOB,2025-02-28,https://www.youtube.com/watch?v=AFaZPkRlbVQ,3587,AFaZPkRlbVQ,RAP BATTLE,
Robscure,Karkobi,,,,Accapella,2025,DLTLLY,2025-02-23,https://www.youtube.com/watch?v=cPiNUjyXRv4,39642,cPiNUjyXRv4,  Kassel,
ALADIN,KOOZY,,,,Accapella,2025,FOB,2025-02-21,https://www.youtube.com/watch?v=90w3P4aaCew,4867,90w3P4aaCew,RAP BATTLE,
Requiem,Sizyphos,,,,Accapella,2025,DLTLLY,2025-02-16,https://www.youtube.com/watch?v=nkkgsZG1RTI,33250,nkkgsZG1RTI,  Freiburg &#39;24,
Requiem,Sizyphos,,,,Accapella,2025,DLTLLY,2025-02-16,https://www.youtube.com/watch?v=J0tMmTZQYlo,4289,J0tMmTZQYlo,Interview Freiburg,
MAZZIKANER & CASHUS K,LAZLO MXRPHINE & DOKTOR LUKAS FRANK,,,,Accapella,2025,FOB,2025-02-14,https://www.youtube.com/watch?v=3_KX2HILsCU,5438,3_KX2HILsCU,RAP BATTLE,
Davie Jones,Craze,,,,Accapella,2025,DLTLLY,2025-02-09,https://www.youtube.com/watch?v=cTXwSOqrZXY,53494,cTXwSOqrZXY,  Freiburg &#39;24,
Craze,Davie Jones,,,,Accapella,2025,DLTLLY,2025-02-09,https://www.youtube.com/watch?v=7Viv4hq0jEo,6642,7Viv4hq0jEo,Interview Freiburg &#39;24,
NOTYZZE,YUAH,,,,Accapella,2025,FOB,2025-02-07,https://www.youtube.com/watch?v=BvO2sdUm1q4,21097,BvO2sdUm1q4,RAP BATTLE,
Moody,Celune,,,,Accapella,2025,DLTLLY,2025-02-06,https://www.youtube.com/watch?v=wytgWL8RCEA,17266,wytgWL8RCEA,  Freiburg &#39;24,
Moody,Celune,,,,Accapella,2025,DLTLLY,2025-02-06,https://www.youtube.com/watch?v=e_BdozUEAf8,3323,e_BdozUEAf8,Interview Freiburg &#39;24,
Aytee,Karanova,,,,On Beat,2025,DLTLLY,2025-02-04,https://www.youtube.com/watch?v=Zp6mL0C23YM,9163,Zp6mL0C23YM,Title Match - Provokation  Only Berlin,
Shortworth,Young Kennedy,,,,Accapella,2025,DLTLLY,2025-02-02,https://www.youtube.com/watch?v=Jb7nLnvt9xk,944,Jb7nLnvt9xk,Interview Freiburg &#39;24,
Young Kennedy,Shortworth,,,,Accapella,2025,DLTLLY,2025-02-02,https://www.youtube.com/watch?v=AtYLF4rn1R8,12844,AtYLF4rn1R8,  Freiburg &#39;24,
HEINZ87,LATIK,,,,Accapella,2025,FOB,2025-01-31,https://www.youtube.com/watch?v=NDHVCiqnl1c,4941,NDHVCiqnl1c,RAP BATTLE,
Faivel,Riesenlauch,,,Freiburg,Accapella,2025,DLTLLY,2025-01-26,https://www.youtube.com/watch?v=5WnR6TDxAhg,13437,5WnR6TDxAhg,  Freiburg 24,
Faivel,Riesenlauch,,,,Accapella,2025,DLTLLY,2025-01-26,https://www.youtube.com/watch?v=ECj6jzGhp2Q,1267,ECj6jzGhp2Q,Interview Freiburg 24,
NRG,FROZEN,,,,Accapella,2025,FOB,2025-01-24,https://www.youtube.com/watch?v=lr-V4CfntNI,3882,lr-V4CfntNI,RAP BATTLE,
Bdad,Indoor Stan,,,Freiburg,Accapella,2025,DLTLLY,2025-01-19,https://www.youtube.com/watch?v=PEXAziy1EDo,38162,PEXAziy1EDo,  Freiburg 24,
Bdad,Indoor Stan,,,,Accapella,2025,DLTLLY,2025-01-19,https://www.youtube.com/watch?v=kb2BDEOUYwA,3800,kb2BDEOUYwA,Interview Freiburg,
MOODY,ROOL,,,,Accapella,2025,FOB,2025-01-17,https://www.youtube.com/watch?v=14zNL0MQ9XQ,5250,14zNL0MQ9XQ,RAP BATTLE,
Kiruma,Notyzze,,,,Accapella,2025,DLTLLY,2025-01-12,https://www.youtube.com/watch?v=KUwb8QdHF0w,30092,KUwb8QdHF0w,  BORA Duisburg,
