Name #1,Name #2,Event,Location,Stadt,Type,Year,Channel,Uploaded,URL,Views,ID,hidden
VYRUS & FREEZY,SIZYPHOS & SH@WDY SH@F,,,,Accapella,2024,FOB,2024-07-26,https://www.youtube.com/watch?v=yC4KF5j4SC0,8977,yC4KF5j4SC0,RAP BATTLE
Quill,Hollow Da Don,MAYhem 7,Festsaal Kreuzberg,Berlin,Accapella,2024,DLTLLY,2024-07-21,https://www.youtube.com/watch?v=L4bqv0Z187s,11157,L4bqv0Z187s,International  + Interview MAYhem #7
MOODY,EZRA,,,,Accapella,2024,FOB,2024-07-21,https://www.youtube.com/watch?v=_xZ5PG4OiQ4,2546,_xZ5PG4OiQ4,ONE-ROUNDER
DAVIE JONES,BDAD,,,,Accapella,2024,FOB,2024-07-19,https://www.youtube.com/watch?v=j0UoUGbmxcQ,15813,j0UoUGbmxcQ,ACAPELLA BATTLE
Wolff,T-Way,,,,Accapella,2024,DLTLLY,2024-07-14,https://www.youtube.com/watch?v=zOWZq8nG75U,22537,zOWZq8nG75U,Co-Event
Wolff,T-Way,,,,Accapella,2024,DLTLLY,2024-07-14,https://www.youtube.com/watch?v=haDRNN288xI,2488,haDRNN288xI,Co-Event
HOODOO,GEERAH,,,,Accapella,2024,FOB,2024-07-14,https://www.youtube.com/watch?v=SooZ6KbCv4I,2114,SooZ6KbCv4I,ACAPELLA BATLLE
ZEPTAH,REQUIEM,,,,On Beat,2024,FOB,2024-07-12,https://www.youtube.com/watch?v=EJdpjtbvjEo,8267,EJdpjtbvjEo,ON BEAT BATTLE
MC Cologne,Bandan,Co-Event DLTLLY & FOB,,,On Beat,2024,DLTLLY,2024-07-11,https://www.youtube.com/watch?v=6nV5CVQoKLo,6288,6nV5CVQoKLo,Co-Event
Duff,Neilz,Co-Event DLTLLY & FOB,,,On Beat,2024,DLTLLY,2024-07-07,https://www.youtube.com/watch?v=1MsrFX-bPC4,17453,1MsrFX-bPC4,Co-Event
LUCKYLILY,MC GEUNER,,,,Accapella,2024,FOB,2024-07-05,https://www.youtube.com/watch?v=G3O29FB4itk,17050,G3O29FB4itk,ACAPELLA BATTLE
Proton,Koozy,Co-Event DLTLLY & FOB,,,On Beat,2024,DLTLLY,2024-07-04,https://www.youtube.com/watch?v=JCMIDlfCDjY,12852,JCMIDlfCDjY,Co-Event
Mighty P & Lamin,FFFelix & Nastic,,,,Accapella,2024,DLTLLY,2024-06-27,https://www.youtube.com/watch?v=q3gQy17LHC0,11427,q3gQy17LHC0,2on2  + Interview  x  Co-Event
Karma,Hiding John (One Rounder),,,,Accapella,2024,DLTLLY,2024-06-21,https://www.youtube.com/watch?v=7Vmk5up-5Fo,28322,7Vmk5up-5Fo,NRWeekend
PESC,FAIVEL,LEVEL UP TURNIER,,Köln,Accapella,2024,FOB,2024-06-18,https://www.youtube.com/watch?v=EVKPjgMgfJg,4851,EVKPjgMgfJg,LEVEL UP TURNIER
NATALI,KRISO,,,,Accapella,2024,FOB,2024-06-17,https://www.youtube.com/watch?v=lcDcZyVhX5Y,6277,lcDcZyVhX5Y,LEVEL UP TURNIER
Kato & Yarambo,Joseph Steinschleuder & Sizyphos,NRWeekend 7,,,Accapella,2024,DLTLLY,2024-06-16,https://www.youtube.com/watch?v=4j1hDSpgsFw,69567,4j1hDSpgsFw,2on2  NRWeekend
