Name #1,Name #2,Event,Type,Year,Channel,Uploaded,Views
Joe Pharo,Fate,  DISSember #7,Accapella,2024,DLTLLY,2024-02-11,19315
KOOZY,MAN IN BLACK,ON BEAT BATTLE,On Beat,2024,FOB,2024-02-09,6910
Clockwork,Sachma,  Proving Grounds,Accapella,2024,DLTLLY,2024-02-09,6897
Kato,Neilz,🏆 TITLE MATCH 🏆,Accapella,2024,DLTLLY,2024-02-04,54382
VYRUS,STEEL,ON BEAT TITLEMATCH,On Beat,2024,FOB,2024-02-02,24780
Yarambo,Karma,  Hamburg,Accapella,2024,DLTLLY,2024-01-28,45295
FAITH MC,ROLLING G,ACAPELLA BATTLE,Accapella,2024,FOB,2024-01-27,5744
CapcoJones,Cristosaurus Rex,  Proving Grounds,Accapella,2024,DLTLLY,2024-01-26,8342
ROOL,DAVID ARDOR,NEWCOMER BATTLE,Accapella,2024,FOB,2024-01-21,2113
FRAX ONE & DJANGO,NATALI & ALADIN,ACAPELLA BATTLE,Accapella,2024,FOB,2024-01-19,5647
JOSEPH STEINSCHLEUDER & ROMIK WRONG,ZEPTAH & ORPHXN,ON BEAT BATTLE,On Beat,2024,FOB,2024-01-12,13411
Holu,Moody,Battle,Accapella,2023,Unknown,2024-01-06,5372
BURST & T-WAY,LEANDERS & DESPO,ACAPELLA BATTLE,Accapella,2024,FOB,2024-01-05,8708
KRISO,ILYA FLOYD,NEWCOMER BATTLE,Accapella,2023,FOB,2023-12-31,3301
Bilal,Joseph Steinschleuder,Battle,Accapella,2023,Unknown,2023-12-30,14134
LUCKYLILY & BAYZE,CRAZE & MOITZ,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-28,29679
MORGANA,ZEPTAH,ON BEAT BATTLE,On Beat,2023,FOB,2023-12-26,6458
Kane,David Ardor,Battle,Accapella,2023,Unknown,2023-12-23,3083
CLOCKWORK,CSN GALACTICO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-21,4842
KIRUMA,HIDING JOHN,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-17,48257
