Name #1,Name #2,Event,Type,Year,Channel,Uploaded,Views
Joe Pharo,Fate,  DISSember #7,Accapella,2024,DLTLLY,2024-02-11,7353
Clockwork,Sachma,  Proving Grounds,Accapella,2024,DLTLLY,2024-02-09,5685
KOOZY,MAN IN BLACK,ON BEAT BATTLE,On Beat,2024,FOB,2024-02-09,5510
Kato,Neilz,🏆 TITLE MATCH 🏆,Accapella,2024,DLTLLY,2024-02-04,51759
VYRUS,STEEL,ON BEAT TITLEMATCH,On Beat,2024,FOB,2024-02-02,23034
Yarambo,Karma,  Hamburg,Accapella,2024,DLTLLY,2024-01-28,44982
FAITH MC,ROLLING G,ACAPELLA BATTLE,Accapella,2024,FOB,2024-01-27,5633
CapcoJones,Cristosaurus Rex,  Proving Grounds,Accapella,2024,DLTLLY,2024-01-26,8342
ROOL,DAVID ARDOR,NEWCOMER BATTLE,Accapella,2024,FOB,2024-01-21,2082
FRAX ONE & DJANGO,NATALI & ALADIN,ACAPELLA BATTLE,Accapella,2024,FOB,2024-01-19,5590
JOSEPH STEINSCHLEUDER & ROMIK WRONG,ZEPTAH & ORPHXN,ON BEAT BATTLE,On Beat,2024,FOB,2024-01-12,13077
Holu,Moody,Battle,Accapella,2023,Unknown,2024-01-06,5318
BURST & T-WAY,LEANDERS & DESPO,ACAPELLA BATTLE,Accapella,2024,FOB,2024-01-05,8655
KRISO,ILYA FLOYD,NEWCOMER BATTLE,Accapella,2023,FOB,2023-12-31,3293
Bilal,Joseph Steinschleuder,Battle,Accapella,2023,Unknown,2023-12-30,13993
LUCKYLILY & BAYZE,CRAZE & MOITZ,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-28,29426
MORGANA,ZEPTAH,ON BEAT BATTLE,On Beat,2023,FOB,2023-12-26,6397
Kane,David Ardor,Battle,Accapella,2023,Unknown,2023-12-23,3074
CLOCKWORK,CSN GALACTICO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-21,4822
SNAKEHEADRHYME,A-RON,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-17,9019
KARKOBI,MOODY,ACAPELLA BATTLE,Accapella,2024,FOB,2023-12-17,12753
KIRUMA,HIDING JOHN,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-17,47916
SHAOLUM,EZRA,ONE-ROUNDER,Accapella,2023,FOB,2023-12-10,3568
KvW,Jilly,Battle,Accapella,2023,Unknown,2023-12-09,4218
FREEKNO,MORGANA,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-08,5966
VYRUS,KARANOVA,ON BEAT BATTLE,On Beat,2023,FOB,2023-12-01,28454
MOODY,TECEY,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-26,3416
JOE PHARO,LITTLE SEDO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-24,9202
NASTIC,STEEL,ON BEAT BATTLE,On Beat,2023,FOB,2023-11-19,49684
JEPAIN,CELUNE,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-16,7565
BAYZE,M.F.L.,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-12,6567
KOOZY,ZEPTAH,ON BEAT BATTLE,On Beat,2023,FOB,2023-11-10,8329
LUCKYLILY,IKKS,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-10,9217
