Name #1,Name #2,Event,Type,Year,Channel,Uploaded,Views
LUCKYLILY & BAYZE,CRAZE & MOITZ,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-28,10059
MORGANA,ZEPTAH,ON BEAT BATTLE,On Beat,2023,FOB,2023-12-26,4515
Karkobi,Requiem,  Wien,Accapella,2023,DLTLLY,2023-12-24,24143
Kane,David Ardor,Battle,Accapella,2023,DUDL,2023-12-23,2425
Barbee & Flow,Fate & Joseph Steinschleuder,2on2  Wien,Accapella,2023,DLTLLY,2023-12-22,15814
CLOCKWORK,CSN GALACTICO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-21,3286
KIRUMA,HIDING JOHN,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-17,30016
SNAKEHEADRHYME,A-RON,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-17,7840
SHAOLUM,EZRA,ONE-ROUNDER,Accapella,2023,FOB,2023-12-10,3289
KvW,Jilly,Battle,Accapella,2023,DUDL,2023-12-09,3771
Flashus Christus,K9NE,  Wien,Accapella,2023,DLTLLY,2023-12-08,6305
FREEKNO,MORGANA,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-08,5436
VYRUS,KARANOVA,ON BEAT BATTLE,On Beat,2023,FOB,2023-12-01,23378
MOODY,TECEY,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-26,3232
Schalle,Shortworth,  Wien,Accapella,2023,DLTLLY,2023-11-24,11352
JOE PHARO,LITTLE SEDO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-24,8474
Duff,Joe Pharo,  Dortmund,Accapella,2023,DLTLLY,2023-11-22,22511
NASTIC,STEEL,ON BEAT BATTLE,On Beat,2023,FOB,2023-11-19,21356
Grandmaster Flow,Kalp One,  Wien,Accapella,2023,DLTLLY,2023-11-16,7396
JEPAIN,CELUNE,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-16,6334
Belial,Julo,  Dortmund,Accapella,2023,DLTLLY,2023-11-16,25736
