Name #1,Name #2,Event,Type,Year,Channel,Uploaded,Views
KRISO,ILYA FLOYD,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-31,1778
Neilz,Kiruma,  Dortmund,Accapella,2023,DLTLLY,2023-12-31,31638
Notyzze,BanDan,  Wien,On Beat,2023,DLTLLY,2023-12-30,14074
Barbee & Flow,Fate & Joseph Steinschleuder,2on2  Wien,Accapella,2023,DLTLLY,2023-12-30,16467
Liuz,Herr Kuchen,  Dortmund,Accapella,2023,DLTLLY,2023-12-30,35315
Karkobi,Requiem,  Wien,Accapella,2023,DLTLLY,2023-12-30,25724
Flashus Christus,K9NE,  Wien,Accapella,2023,DLTLLY,2023-12-30,6437
Bilal,Joseph Steinschleuder,Battle,Accapella,2023,DUDL,2023-12-30,8558
Mc Geuner,T-Way,  Dortmund,Accapella,2023,DLTLLY,2023-12-30,16682
Onkel Oktomusch,Jindo109,  Dortmund,Accapella,2023,DLTLLY,2023-12-30,58028
LUCKYLILY & BAYZE,CRAZE & MOITZ,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-28,19296
MORGANA,ZEPTAH,ON BEAT BATTLE,On Beat,2023,FOB,2023-12-26,4847
Karkobi,Requiem,  Wien,Accapella,2023,DLTLLY,2023-12-24,25273
Kane,David Ardor,Battle,Accapella,2023,DUDL,2023-12-23,2635
CLOCKWORK,CSN GALACTICO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-21,3438
SNAKEHEADRHYME,A-RON,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-17,8073
KIRUMA,HIDING JOHN,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-17,34482
SHAOLUM,EZRA,ONE-ROUNDER,Accapella,2023,FOB,2023-12-10,3326
KvW,Jilly,Battle,Accapella,2023,DUDL,2023-12-09,3881
Flashus Christus,K9NE,  Wien,Accapella,2023,DLTLLY,2023-12-08,6305
FREEKNO,MORGANA,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-08,5571
VYRUS,KARANOVA,ON BEAT BATTLE,On Beat,2023,FOB,2023-12-01,24055
MOODY,TECEY,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-26,3252
Schalle,Shortworth,  Wien,Accapella,2023,DLTLLY,2023-11-24,11420
JOE PHARO,LITTLE SEDO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-24,8579
Duff,Joe Pharo,  Dortmund,Accapella,2023,DLTLLY,2023-11-22,22626
NASTIC,STEEL,ON BEAT BATTLE,On Beat,2023,FOB,2023-11-19,24902
Grandmaster Flow,Kalp One,  Wien,Accapella,2023,DLTLLY,2023-11-16,7427
Wenzel Washington,Davis,  Wien,Accapella,2023,DLTLLY,2023-11-16,11072
JEPAIN,CELUNE,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-16,6430
Belial,Julo,  Dortmund,Accapella,2023,DLTLLY,2023-11-16,25798
BAYZE,M.F.L.,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-12,5780
KOOZY,ZEPTAH,ON BEAT BATTLE,On Beat,2023,FOB,2023-11-10,7775
LUCKYLILY,IKKS,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-10,7692
Aytee,Phasenkind,München,On Beat,2023,DLTLLY,2023-11-07,141662
Lyrico,Tobi High,  splash! 25,On Beat,2023,DLTLLY,2023-11-07,35945
Aytee,Galv,Berlin 9th Birthday,On Beat,2023,DLTLLY,2023-11-07,40492
Phasenkind,Vyrus,Battle,On Beat,2023,DLTLLY,2023-11-07,56512
Dizzepticon,Koozy,NRWeekend 5,On Beat,2023,DLTLLY,2023-11-07,19866
Karanova,BanDan,DISSember 6,On Beat,2023,DLTLLY,2023-11-07,20893
Falki,Davie Jones,München,On Beat,2023,DLTLLY,2023-11-07,54407
Pablo,Mordrake,  splash! 25,On Beat,2023,DLTLLY,2023-11-07,12383
Tokz,Tisos,Match,On Beat,2023,DLTLLY,2023-11-07,11246
Joseph Steinschleuder,Steel,Düsseldorf,On Beat,2023,DLTLLY,2023-11-07,35713
Bong Teggy,Davie Jones, Splash! Festival,On Beat,2023,DLTLLY,2023-11-07,131111
Mavgic,Notyzze, Splash! Festival,On Beat,2023,DLTLLY,2023-11-07,62367
N'antinein,Bahamakarma,  splash! 25,On Beat,2023,DLTLLY,2023-11-07,17338
Krom,Craze, Splash! Festival,On Beat,2023,DLTLLY,2023-11-07,36017
Shizu,Mave,  splash! 25,Accapella,2023,DLTLLY,2023-11-07,17624
Kid Soldier,Krom,  splash! 25,On Beat,2023,DLTLLY,2023-11-07,20492
Notyzze,Pablo,München,On Beat,2023,DLTLLY,2023-11-07,27444
Cris Kotzen & Escape,Vyrus & Freezy,2on2   splash! 25,On Beat,2023,DLTLLY,2023-11-07,33464
Ssynic,Craze,  B-Day #10,Accapella,2023,DLTLLY,2023-11-06,108909
SUZIE SUH,MALIK,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-05,4910
Yarambo,JollyJay,  B-Day #10,Accapella,2023,DLTLLY,2023-10-29,70774
SIC68,LEOQUENT,ACAPELLA BATTLE,Accapella,2023,FOB,2023-10-29,2386
TEACH,SHORTWORTH,ACAPELLA BATTLE,Accapella,2023,FOB,2023-10-27,5008
Kato,Bong Teggy,  B-Day #10,Accapella,2023,DLTLLY,2023-10-25,60333
M.F.L.,CLOCKWORK,ACAPELLA BATTLE,Accapella,2023,FOB,2023-10-21,3026
DEELAH,DADDA,ACAPELLA BATTLE,Accapella,2023,FOB,2023-10-20,10322
Karanova,Mc Geuner,  B-Day #10,Accapella,2023,DLTLLY,2023-10-15,32311
Jeystone,Karanova,Battle,Accapella,2023,DUDL,2023-10-14,13653
DIAMOND,NATALI,ACAPELLA BATTLE,Accapella,2023,FOB,2023-10-13,10864
Mighty P,Karma,  B-Day #10,Accapella,2023,DLTLLY,2023-10-08,23103
Flashus Christus,Béla Garbage,Battle,Accapella,2023,DUDL,2023-10-07,5270
ShadyX,David Ardor,Battle,Accapella,2023,DUDL,2023-09-30,3724
FAIVEL,MAZZIKANER,ACAPELLA BATTLE,Accapella,2023,FOB,2023-09-24,3867
DEZ,MC Rabiat,Battle,Accapella,2023,DUDL,2023-09-23,5067
JOSEPH STEINSCHLEUDER,ALADIN,ON BEAT BATTLE,On Beat,2023,FOB,2023-09-21,20427
Mc Geuner,Snakeheadrhyme,  München,Accapella,2023,DLTLLY,2023-09-15,29067
Wolff,Requiem,  München,Accapella,2023,DLTLLY,2023-09-15,36077
Tobi High,Yarambo,  München,Accapella,2023,DLTLLY,2023-08-28,96036
T-Way,Julo,  München,Accapella,2023,DLTLLY,2023-08-21,21059
NOTYZZE,PATO G (FINALE),FREESTYLE BATTLE,Accapella,2023,FOB,2023-08-10,8309
REQUIEM,ALADIN,ON BEAT BATTLE,On Beat,2023,FOB,2023-08-10,5096
DAVIE JONES,KIRUMA,ACAPELLA BATTLE,Accapella,2023,FOB,2023-08-10,41041
FAIVEL,TRIPLE,MIXED MARTIAL BARS,Accapella,2023,FOB,2023-08-10,4561
VYRUS,KOOZY,ON BEAT BATTLE,On Beat,2023,FOB,2023-08-10,11429
ROLLING G,ATROPATRAP,ACAPELLA BATTLE,Accapella,2023,FOB,2023-08-10,16932
DER SERGEANT,MUSIO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-08-10,4006
NASTIC (FINNASTIC),CRIPSTA,ON BEAT BATTLE,On Beat,2023,FOB,2023-08-10,4944
TEACH,DJANGO (BATTLE UM PLATZ 3),FREESTYLE BATTLE,Accapella,2023,FOB,2023-08-10,2519
Joseph Steinschleuder,Shizu,  München,Accapella,2023,DLTLLY,2023-08-01,30704
Kato,Meidi,  MAYhem #6,Accapella,2023,DLTLLY,2023-07-31,124969
MALIK,JEPAIN,ACAPELLA BATTLE,Accapella,2023,FOB,2023-07-28,2644
Craze,Karanova,  MAYhem #6,Accapella,2023,DLTLLY,2023-07-25,60750
RIPA,CIZERO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-07-23,1743
DER SERGEANT,CLOCKWORK,ACAPELLA BATTLE,Accapella,2023,FOB,2023-07-21,3013
YOUNG KENNEDY,LIUZ,ACAPELLA BATTLE,Accapella,2023,FOB,2023-07-16,3647
Karkobi,Hiding John,MAYhem #6,Accapella,2023,DLTLLY,2023-07-14,56736
BARETTA,OLDBOY,ACAPELLA BATTLE,Accapella,2023,FOB,2023-07-14,2728
Kid Soldier,Hansen,MAYhem #6,Accapella,2023,DLTLLY,2023-07-09,53470
Zeuge,Joseph Steinschleuder,MAYhem #6,Accapella,2023,DLTLLY,2023-07-08,37440
Jindo109,Liuz,Proving Grounds Berlin,Accapella,2023,DLTLLY,2023-07-07,48412
FINNASTIC,FAIVEL,ON BEAT BATTLE,On Beat,2023,FOB,2023-07-07,3967
Mavgic,Bong Teggy,🏆  Titlematch 🏆,On Beat,2023,DLTLLY,2023-07-03,101173
Mavgic,Bong Teggy,🏆  Titlematch 🏆,On Beat,2023,DLTLLY,2023-07-02,101177
MOODY,CSN GALACTICO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-06-30,3065
EZRA,TECEY,ACAPELLA BATTLE,Accapella,2023,FOB,2023-06-30,2311
Rolling G,Jeystone,Proving Grounds Berlin,Accapella,2023,DLTLLY,2023-06-25,17654
Kiruma,Jeystone,Battle,Accapella,2023,DUDL,2023-06-24,22536
LARA SOFT,MAT052,ON BEAT BATTLE,On Beat,2023,FOB,2023-06-21,4941
Rolling G,Jeystone,Proving Grounds Berlin,Accapella,2023,DLTLLY,2023-06-21,17742
Mars,ZinZity,NRWeekend 6,Accapella,2023,DLTLLY,2023-06-18,51746
Julo,SnakeHeadRhyme,Battle,Accapella,2023,DUDL,2023-06-17,12536
Bronko Banano,Young Kennedy,Proving Grounds Berlin,Accapella,2023,DLTLLY,2023-06-16,9341
LUCKYLILY,CRAZYO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-06-11,5149
Mc Geuner,DeeLah,NRWeekend 6,Accapella,2023,DLTLLY,2023-06-11,33008
FreeKno,LevRudi,Battle,Accapella,2023,DUDL,2023-06-10,10740
Swear Boss,Chaarlz,Bars von Chaarlz,On Beat,2023,DLTLLY,2023-06-09,24841
MC GEUNER,JOSEPH STEINSCHLEUDER,ACAPELLA BATTLE,Accapella,2023,FOB,2023-06-08,29725
THORA,NICK SHIT,ACAPELLA BATTLE,Accapella,2023,FOB,2023-06-04,2660
Jack Dragon,Duff,NRWeekend 6,Accapella,2023,DLTLLY,2023-06-04,23514
XtraHerb,Trunkenbold,Battle,Accapella,2023,DUDL,2023-06-03,8266
MC Janosch,Quasi Infamous,Proving Grounds Berlin,Accapella,2023,DLTLLY,2023-05-31,16409
T-WAY & TOLLSCHOCK & BURST & EZRA & HEINZ87,NATIF (& YAAMANN),5 GEGEN NATIF,Accapella,2023,FOB,2023-05-31,6003
