Name #1,Name #2,Event,Type,Date (Year)
Mars B.,BX,Corona Battle Package,Rap Battle,Unknown
Craze,Burst,English 1 Rounder,Rap Battle,Unknown
Falk,Ano-nym,DLTLLY OnlineBattle,Rap Battle,Unknown
Zeptah,Gammel,DLTLLY OnlineBattle,Rap Battle,Unknown
Sizyphos,Robscure,DLTLLY Online Battle,Rap Battle,Unknown
Hiding John,A-Ron,DLTLLY Onlie Battle,Rap Battle,Unknown
Proton,Craze,On Beat + Accapella,On Beat,Unknown
Pablo,Jolle,DLTLLY Online Battle,Rap Battle,Unknown
T-Way,Kid Soldier,DLTLLY Online Battle,Rap Battle,Unknown
Phasenkind,Karanova,DLTLLY OnlineBattle,Rap Battle,Unknown
Proton,Notyzze,DLTLLY OnBeatBattle (NRWeekend4,On Beat,2020
Craze' Parts,Merlin,DLTLLY RapBattle (NRWeekend4,Rap Battle,2020
Falk + Khacoby,DNA + Ringelnatz,DLTLLY RapBattle (NRWeekend4,Rap Battle,2020
Ali Smart,Pulsar,DLTLLY RapBattle (D&DL CoEvent,Rap Battle,2020
DeeLah,Wandelbarz,DLTLLY RapBattle (NRWeekend4,Rap Battle,2020
Davie Jones,Fresh Polakke,DLTLLY OnBeatBattle (Berlin | Panke),On Beat,2020
Django,Leanders,DLTLLY RapBattle (NRWeekend4,Rap Battle,2020
Mazzikaner,DNA,DLTLLY OnBeatBattle (Berlin | Panke),On Beat,2020
Kato,Ano-nym,DLTLLY RapBattle (NRWeekend4,Rap Battle,2020
Phasenkind,Steel,DLTLLY OnBeatBattle (Berlin | Panke),On Beat,2020
DOC,Vorstadtflokati,DLTLLY RapBattle (NRWeekend4,Rap Battle,2020
Tollschock,Kid Soldier,DLTLLY RapBattle (NRWeekend4,Rap Battle,2020
Natif,Ryko-J,DLTLLY RapBattle (NRWeekend4,Rap Battle,2020
RenetiXX,A-Ron,DLTLLY RapBattle (NRWeekend4,Rap Battle,2020
Craze,Pablo,DLTLLY OnBeatBattle (Berlin | Panke),On Beat,2020
Wolff,Mars B.,DLTLLY RapBattle (Kassel),Rap Battle,2020
Hiding John,ZinZity,DLTLLY RapBattle (Kassel),Rap Battle,2020
