Name #1,Name #2,Event,Type,Year,Channel,Uploaded,URL,ID,Views
Der Sergeant,Diamond,  Proving Grounds,Accapella,2024,DLTLLY,2024-3-10,https://www.youtube.com/watch?v=YdQh67kKjA0,YdQh67kKjA0,11583
ZATO,ZEPTAH,ON BEAT BATTLE,On Beat,2024,FOB,2024-3-1,https://www.youtube.com/watch?v=nMeqvIpjfOE,nMeqvIpjfOE,6359
KOOZY,MAN IN BLACK,ON BEAT BATTLE,On Beat,2024,FOB,2024-2-9,https://www.youtube.com/watch?v=6_YUEKAjkng,6_YUEKAjkng,8504
Clockwork,Sachma,  Proving Grounds,Accapella,2024,DLTLLY,2024-2-9,https://www.youtube.com/watch?v=bwbDyjtPJCc,bwbDyjtPJCc,8017
CapcoJones,Cristosaurus Rex,  Proving Grounds,Accapella,2024,DLTLLY,2024-2-4,https://www.youtube.com/watch?v=NNUTrbddBwo,NNUTrbddBwo,9223
Kato,Neilz,🏆 TITLE MATCH 🏆,Accapella,2024,DLTLLY,2024-2-4,https://www.youtube.com/watch?v=ykfHhWbi7Jk,ykfHhWbi7Jk,67521
Ricochet,Riesenlauch,  Proving Grounds Berlin,Accapella,2024,DLTLLY,2024-2-4,https://www.youtube.com/watch?v=NjX3eisi5XU,NjX3eisi5XU,10649
Belial,Kid Soldier,  DISSember #7,Accapella,2024,DLTLLY,2024-2-25,https://www.youtube.com/watch?v=fN0PgIxzhC8,fN0PgIxzhC8,33942
FREEZY,DADDA,ON BEAT BATTLE,On Beat,2024,FOB,2024-2-23,https://www.youtube.com/watch?v=QBSRI86VMs8,QBSRI86VMs8,11631
VYRUS,STEEL,ON BEAT TITLEMATCH,On Beat,2024,FOB,2024-2-2,https://www.youtube.com/watch?v=hupa7KpyOm8,hupa7KpyOm8,40297
The Saurus,Quill,  DISSember #7,Accapella,2024,DLTLLY,2024-2-19,https://www.youtube.com/watch?v=9z2aEljjMtQ,9z2aEljjMtQ,10759
Faivel,Bilal,  Hamburg,Accapella,2024,DLTLLY,2024-1-7,https://www.youtube.com/watch?v=mHPNeE8Tkbo,mHPNeE8Tkbo,13387
Holu,Moody,Battle,Accapella,2023,DUDL,2024-1-6,https://www.youtube.com/watch?v=ZgVgROhjl5o,ZgVgROhjl5o,5947
Shizu,Morgana,  Hamburg,On Beat,2024,DLTLLY,2024-1-5,https://www.youtube.com/watch?v=uZC6ZAOqvss,uZC6ZAOqvss,17166
BURST & T-WAY,LEANDERS & DESPO,ACAPELLA BATTLE,Accapella,2024,FOB,2024-1-5,https://www.youtube.com/watch?v=_RaLw94QJSI,_RaLw94QJSI,9009
