Name #1,Name #2,Event,Type,Year,Channel,Uploaded,Views
LUCKYLILY & BAYZE,CRAZE & MOITZ,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-28,0
MORGANA,ZEPTAH,ON BEAT BATTLE,On Beat,2023,FOB,2023-12-26,4235
Karkobi,Requiem,  Wien,Accapella,2023,DLTLLY,2023-12-24,23168
Kane,David Ardor,Battle,Accapella,2023,DUDL,2023-12-23,2318
Barbee & Flow,Fate & Joseph Steinschleuder,2on2  Wien,Accapella,2023,DLTLLY,2023-12-22,15497
CLOCKWORK,CSN GALACTICO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-21,3192
KIRUMA,HIDING JOHN,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-17,27815
SNAKEHEADRHYME,A-RON,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-17,7691
SHAOLUM,EZRA,ONE-ROUNDER,Accapella,2023,FOB,2023-12-10,3268
KvW,Jilly,Battle,Accapella,2023,DUDL,2023-12-09,3750
Flashus Christus,K9NE,  Wien,Accapella,2023,DLTLLY,2023-12-08,6305
FREEKNO,MORGANA,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-08,5366
VYRUS,KARANOVA,ON BEAT BATTLE,On Beat,2023,FOB,2023-12-01,23067
MOODY,TECEY,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-26,3223
Schalle,Shortworth,  Wien,Accapella,2023,DLTLLY,2023-11-24,11329
JOE PHARO,LITTLE SEDO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-24,8423
Duff,Joe Pharo,  Dortmund,Accapella,2023,DLTLLY,2023-11-22,22455
NASTIC,STEEL,ON BEAT BATTLE,On Beat,2023,FOB,2023-11-19,19351
Grandmaster Flow,Kalp One,  Wien,Accapella,2023,DLTLLY,2023-11-16,7382
JEPAIN,CELUNE,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-16,6286
Belial,Julo,  Dortmund,Accapella,2023,DLTLLY,2023-11-16,25701
Wenzel Washington,Davis,  Wien,Accapella,2023,DLTLLY,2023-11-16,11045
BAYZE,M.F.L.,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-12,5451
LUCKYLILY,IKKS,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-10,7114
KOOZY,ZEPTAH,ON BEAT BATTLE,On Beat,2023,FOB,2023-11-10,7647
Aytee,Phasenkind,München,On Beat,2023,DLTLLY,2023-11-07,141513
Joseph Steinschleuder,Steel,Düsseldorf,On Beat,2023,DLTLLY,2023-11-07,35426
N'antinein,Bahamakarma,  splash! 25,On Beat,2023,DLTLLY,2023-11-07,17315
Karanova,BanDan,DISSember 6,On Beat,2023,DLTLLY,2023-11-07,20869
Falki,Davie Jones,München,On Beat,2023,DLTLLY,2023-11-07,54386
Aytee,Galv,Berlin 9th Birthday,On Beat,2023,DLTLLY,2023-11-07,40425
Dizzepticon,Koozy,NRWeekend 5,On Beat,2023,DLTLLY,2023-11-07,19863
Phasenkind,Vyrus,Battle,On Beat,2023,DLTLLY,2023-11-07,56461
Lyrico,Tobi High,  splash! 25,On Beat,2023,DLTLLY,2023-11-07,35769
Cris Kotzen & Escape,Vyrus & Freezy,2on2   splash! 25,On Beat,2023,DLTLLY,2023-11-07,33296
Pablo,Mordrake,  splash! 25,On Beat,2023,DLTLLY,2023-11-07,12362
Krom,Craze, Splash! Festival,On Beat,2023,DLTLLY,2023-11-07,35977
Bong Teggy,Davie Jones, Splash! Festival,On Beat,2023,DLTLLY,2023-11-07,130854
Shizu,Mave,  splash! 25,Accapella,2023,DLTLLY,2023-11-07,17590
Kid Soldier,Krom,  splash! 25,On Beat,2023,DLTLLY,2023-11-07,20448
Tokz,Tisos,Match,On Beat,2023,DLTLLY,2023-11-07,11226
Notyzze,Pablo,München,On Beat,2023,DLTLLY,2023-11-07,27424
Mavgic,Notyzze, Splash! Festival,On Beat,2023,DLTLLY,2023-11-07,62304
Ssynic,Craze,  B-Day #10,Accapella,2023,DLTLLY,2023-11-06,107998
SUZIE SUH,MALIK,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-05,4836
SIC68,LEOQUENT,ACAPELLA BATTLE,Accapella,2023,FOB,2023-10-29,2374
Yarambo,JollyJay,  B-Day #10,Accapella,2023,DLTLLY,2023-10-29,70289
TEACH,SHORTWORTH,ACAPELLA BATTLE,Accapella,2023,FOB,2023-10-27,4981
Kato,Bong Teggy,  B-Day #10,Accapella,2023,DLTLLY,2023-10-25,60050
M.F.L.,CLOCKWORK,ACAPELLA BATTLE,Accapella,2023,FOB,2023-10-21,3016
DEELAH,DADDA,ACAPELLA BATTLE,Accapella,2023,FOB,2023-10-20,10184
Karanova,Mc Geuner,  B-Day #10,Accapella,2023,DLTLLY,2023-10-15,32237
Jeystone,Karanova,Battle,Accapella,2023,DUDL,2023-10-14,13566
DIAMOND,NATALI,ACAPELLA BATTLE,Accapella,2023,FOB,2023-10-13,10671
Mighty P,Karma,  B-Day #10,Accapella,2023,DLTLLY,2023-10-08,23073
Flashus Christus,Béla Garbage,Battle,Accapella,2023,DUDL,2023-10-07,5251
ShadyX,David Ardor,Battle,Accapella,2023,DUDL,2023-09-30,3710
FAIVEL,MAZZIKANER,ACAPELLA BATTLE,Accapella,2023,FOB,2023-09-24,3858
DEZ,MC Rabiat,Battle,Accapella,2023,DUDL,2023-09-23,4993
JOSEPH STEINSCHLEUDER,ALADIN,ON BEAT BATTLE,On Beat,2023,FOB,2023-09-21,20053
Wolff,Requiem,  München,Accapella,2023,DLTLLY,2023-09-15,35888
Mc Geuner,Snakeheadrhyme,  München,Accapella,2023,DLTLLY,2023-09-15,29010
Tobi High,Yarambo,  München,Accapella,2023,DLTLLY,2023-08-28,95251
T-Way,Julo,  München,Accapella,2023,DLTLLY,2023-08-21,21043
ROLLING G,ATROPATRAP,ACAPELLA BATTLE,Accapella,2023,FOB,2023-08-10,16837
VYRUS,KOOZY,ON BEAT BATTLE,On Beat,2023,FOB,2023-08-10,11314
NOTYZZE,PATO G (FINALE),FREESTYLE BATTLE,Accapella,2023,FOB,2023-08-10,8248
REQUIEM,ALADIN,ON BEAT BATTLE,On Beat,2023,FOB,2023-08-10,5068
DAVIE JONES,KIRUMA,ACAPELLA BATTLE,Accapella,2023,FOB,2023-08-10,40419
DER SERGEANT,MUSIO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-08-10,3946
TEACH,DJANGO (BATTLE UM PLATZ 3),FREESTYLE BATTLE,Accapella,2023,FOB,2023-08-10,2511
NASTIC (FINNASTIC),CRIPSTA,ON BEAT BATTLE,On Beat,2023,FOB,2023-08-10,4867
FAIVEL,TRIPLE,MIXED MARTIAL BARS,Accapella,2023,FOB,2023-08-10,4536
Joseph Steinschleuder,Shizu,  München,Accapella,2023,DLTLLY,2023-08-01,30633
Kato,Meidi,  MAYhem #6,Accapella,2023,DLTLLY,2023-07-31,124225
MALIK,JEPAIN,ACAPELLA BATTLE,Accapella,2023,FOB,2023-07-28,2636
Craze,Karanova,  MAYhem #6,Accapella,2023,DLTLLY,2023-07-25,60542
RIPA,CIZERO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-07-23,1737
DER SERGEANT,CLOCKWORK,ACAPELLA BATTLE,Accapella,2023,FOB,2023-07-21,2991
YOUNG KENNEDY,LIUZ,ACAPELLA BATTLE,Accapella,2023,FOB,2023-07-16,3622
BARETTA,OLDBOY,ACAPELLA BATTLE,Accapella,2023,FOB,2023-07-14,2719
Karkobi,Hiding John,MAYhem #6,Accapella,2023,DLTLLY,2023-07-14,56527
Kid Soldier,Hansen,MAYhem #6,Accapella,2023,DLTLLY,2023-07-09,53369
Zeuge,Joseph Steinschleuder,MAYhem #6,Accapella,2023,DLTLLY,2023-07-08,37286
Jindo109,Liuz,Proving Grounds Berlin,Accapella,2023,DLTLLY,2023-07-07,48007
FINNASTIC,FAIVEL,ON BEAT BATTLE,On Beat,2023,FOB,2023-07-07,3903
Mavgic,Bong Teggy,🏆  Titlematch 🏆,On Beat,2023,DLTLLY,2023-07-02,100799
EZRA,TECEY,ACAPELLA BATTLE,Accapella,2023,FOB,2023-06-30,2306
MOODY,CSN GALACTICO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-06-30,3013
Rolling G,Jeystone,Proving Grounds Berlin,Accapella,2023,DLTLLY,2023-06-25,17654
Kiruma,Jeystone,Battle,Accapella,2023,DUDL,2023-06-24,22441
LARA SOFT,MAT052,ON BEAT BATTLE,On Beat,2023,FOB,2023-06-21,4914
Rolling G,Jeystone,Proving Grounds Berlin,Accapella,2023,DLTLLY,2023-06-21,17685
Mars,ZinZity,NRWeekend 6,Accapella,2023,DLTLLY,2023-06-18,51642
Julo,SnakeHeadRhyme,Battle,Accapella,2023,DUDL,2023-06-17,12514
Bronko Banano,Young Kennedy,Proving Grounds Berlin,Accapella,2023,DLTLLY,2023-06-16,9308
LUCKYLILY,CRAZYO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-06-11,4945
Mc Geuner,DeeLah,NRWeekend 6,Accapella,2023,DLTLLY,2023-06-11,32969
FreeKno,LevRudi,Battle,Accapella,2023,DUDL,2023-06-10,10713
Swear Boss,Chaarlz,Bars von Chaarlz,On Beat,2023,DLTLLY,2023-06-09,24760
MC GEUNER,JOSEPH STEINSCHLEUDER,ACAPELLA BATTLE,Accapella,2023,FOB,2023-06-08,29538
THORA,NICK SHIT,ACAPELLA BATTLE,Accapella,2023,FOB,2023-06-04,2654
Jack Dragon,Duff,NRWeekend 6,Accapella,2023,DLTLLY,2023-06-04,23476
XtraHerb,Trunkenbold,Battle,Accapella,2023,DUDL,2023-06-03,8251
T-WAY & TOLLSCHOCK & BURST & EZRA & HEINZ87,NATIF (& YAAMANN),5 GEGEN NATIF,Accapella,2023,FOB,2023-05-31,5955
MC Janosch,Quasi Infamous,Proving Grounds Berlin,Accapella,2023,DLTLLY,2023-05-31,16351
Yarambo,Craze,NRWeekend 6,Accapella,2023,DLTLLY,2023-05-28,86189
Nio,Vesso,Battle,Accapella,2023,DUDL,2023-05-27,6306
Celune,Wenzel Washington,Proving Grounds Berlin,Accapella,2023,DLTLLY,2023-05-26,20819
Joseph Steinschleuder,Requiem,NRWeekend 6,Accapella,2023,DLTLLY,2023-05-21,30962
S-Staticx,Rebellion,Battle,Accapella,2023,DUDL,2023-05-20,5674
DADDA,P-HAZE,ACAPELLA BATTLE,Accapella,2023,FOB,2023-05-19,3878
Valik,Davis,Proving Grounds Berlin,Accapella,2023,DLTLLY,2023-05-19,12445
Neilz,Tobi High,NRWeekend 6,Accapella,2023,DLTLLY,2023-05-14,53923
JANAUND,PESC,ACAPELLA BATTLE,Accapella,2023,FOB,2023-05-12,4931
MOODY,NEOS,ACAPELLA BATTLE,Accapella,2023,FOB,2023-05-07,2809
CLOUDSURFER,CSN GALACTICO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-05-05,3001
DER SERGEANT,M.F.L.,ACAPELLA BATTLE,Accapella,2023,FOB,2023-04-28,6001
MORGANA,STEEL,ON BEAT BATTLE,On Beat,2023,FOB,2023-04-21,15954
PHASENKIND,MC COLOGNE,ON BEAT BATTLE,On Beat,2023,FOB,2023-04-14,13142
Maka,Zeptah,NRWeekend 6,Accapella,2023,DLTLLY,2023-04-09,15545
Niza,Heinz87,Proving Grounds Kontext Wiesbaden,Accapella,2023,DLTLLY,2023-04-02,14925
S-Staticx,Der Sir (JollyJay),Proving Grounds Kontext Wiesbaden,Accapella,2023,DLTLLY,2023-03-31,9201
LUG SERIOUS,BANDAN,ON BEAT BATTLE,On Beat,2023,FOB,2023-03-29,3785
MEIDI,KATO,MAYhem 6 - PROVOKATION 1/6,Accapella,2023,DLTLLY,2023-03-27,21503
Aladin,Oregano,Proving Grounds Wiesbaden,Accapella,2023,DLTLLY,2023-03-26,16261
HEYZEN,TECEY,ON BEAT BATTLE,On Beat,2023,FOB,2023-03-23,2747
Mordrake,Faivel,Proving Grounds Wiesbaden,Accapella,2023,DLTLLY,2023-03-19,13558
FINNASTIC,VESSO,ON BEAT BATTLE,On Beat,2023,FOB,2023-03-17,2912
PRYME,FINNASTIC,ON BEAT BATTLE,On Beat,2023,FOB,2023-03-17,4346
DADDA,MAT052,ON BEAT BATTLE,On Beat,2023,FOB,2023-03-15,4364
FREEZY & DESPO,ZEPTAH & ORPHXN,ON BEAT BATTLE,On Beat,2023,FOB,2023-03-14,11583
PHASENKIND,MC COLOGNE,ON BEAT BATTLE,On Beat,2023,FOB,2023-03-14,1354
Holu & Freekno,Joseph Steinschleuder & Triple Beat,2on2,Accapella,2023,DLTLLY,2023-03-12,34051
Krom,Shizu,Freestyle Halbfinale 2/2  Kassel,Accapella,2023,DLTLLY,2023-03-10,12686
JOSEPH STEINSCHLEUDER,KAIRUZO,ON BEAT BATTLE,On Beat,2023,FOB,2023-03-05,20776
Gerro,Bilal,  Kassel,Accapella,2023,DLTLLY,2023-02-24,20103
Kiruma,LevRudi,Battle,Accapella,2022,DUDL,2023-02-04,20877
Neilz,Wolff,DISSember 6,Accapella,2023,DLTLLY,2023-02-02,48679
Julo,Kid Soldier,DISSember 6,Accapella,2023,DLTLLY,2023-01-30,40061
MC Rabiat,Morgana,Battle,Accapella,2022,DUDL,2023-01-28,5827
Kato,Robscure,🏆 TITLE MATCH 🏆,Accapella,2023,DLTLLY,2023-01-27,61190
Jindo109,Quasi,Battle,Accapella,2022,DUDL,2023-01-21,43476
Jeystone,Vorstadtflokati,Battle,Accapella,2022,DUDL,2023-01-14,6385
Hiding John,MC Geuner,DISSember 6,Accapella,2023,DLTLLY,2023-01-14,47682
Flashus Christus,Schlawin0r,Battle,Accapella,2022,DUDL,2023-01-07,6615
Mars B.,JollyJay,Kassel,Accapella,2023,DLTLLY,2023-01-06,91934
CRAZE,MURO (FINALE),FREESTYLE BATTLE,Accapella,2023,FOB,2023-01-02,6095
YAAMANN,TOMMY2LATE (BATTLE UM PLATZ 3),FREESTYLE BATTLE,Accapella,2023,FOB,2023-01-02,2800
Duff,B-Dad,Kassel,Accapella,2022,DLTLLY,2022-12-24,24712
T-Way,Neilz,Kassel,Accapella,2022,DLTLLY,2022-12-22,42326
T-WAY,KOOZY,ON BEAT BATTLE,On Beat,2022,FOB,2022-12-09,9079
ZEPTAH,NOAH263,FREESTYLE BATTLE,Accapella,2022,FOB,2022-12-04,2315
TEACH,VESSO,FREESTYLE BATTLE,Accapella,2022,FOB,2022-12-04,2277
Pulsar,Shaolum,Kassel,Accapella,2022,DLTLLY,2022-11-30,18150
Shizu,Niza,Kassel,Accapella,2022,DLTLLY,2022-11-30,22150
LEONNN,CLOUDSURFER,ACAPELLA BATTLE,Accapella,2022,FOB,2022-11-28,2941
MC COLOGNE,LEOQUENT,ACAPELLA BATTLE,Accapella,2022,FOB,2022-11-28,2635
MORGANA,DESPO,ACAPELLA BATTLE,Accapella,2022,FOB,2022-11-28,5019
Papi Schlauch,Craze,  Stellwerk Hamburg,Accapella,2022,DLTLLY,2022-11-25,72831
DASCHA,NOTYZZE,FREESTYLE BATTLE,Accapella,2022,FOB,2022-11-20,12214
NOTYZZE,DIZZEPTICON,FREESTYLE BATTLE,Accapella,2022,FOB,2022-11-14,5945
KIRUMA,ZEPTAH,ACAPELLA BATTLE,Accapella,2022,FOB,2022-11-04,14747
Joseph Steinschleuder,Hiding John,  Stellwerk Hamburg,Accapella,2022,DLTLLY,2022-11-03,40030
Mazzikaner,Requiem,Proving Grounds  Panke Berlin,Accapella,2022,DLTLLY,2022-11-03,15130
MC GEUNER,ROLLING G,ACAPELLA BATTLE,Accapella,2022,FOB,2022-11-03,35367
CRAZE & PHILLIE.45,VYRUS & FREEZY,ON BEAT BATTLE,On Beat,2022,FOB,2022-10-14,64061
HOLU,MC RABIAT,ACAPELLA BATTLE,Accapella,2022,FOB,2022-10-14,2208
HEINZ87,OREGANO,ACAPELLA BATTLE,Accapella,2022,FOB,2022-10-14,7293
Julo,Joseph Steinschleuder,Battle,Accapella,2022,DUDL,2022-10-01,34226
T-WAY,FREEKNO,ACAPELLA BATTLE,Accapella,2022,FOB,2022-09-28,4188
JOSEPH STEINSCHLEUDER,FAIVEL,ACAPELLA BATTLE,Accapella,2022,FOB,2022-09-27,19950
TOLLSCHOCK,PESC,ACAPELLA BATTLE,Accapella,2022,FOB,2022-09-27,5560
Morgana,Kiruma,Battle,Accapella,2022,DUDL,2022-09-24,17029
MC Rabiat,Pulsar,Battle,Accapella,2022,DUDL,2022-09-17,5921
VYRUS,ZEPTAH,ON BEAT BATTLE,On Beat,2022,FOB,2022-09-14,42023
DEZ,LevRudi,Battle,Accapella,2022,DUDL,2022-09-10,8409
Trunkenbold,Flashus Christus,Battle,Accapella,2022,DUDL,2022-09-03,7095
MORGANA,LUG SERIOUS,ON BEAT BATTLE,On Beat,2022,FOB,2022-09-02,14299
FROZEN,FREEZY,ON BEAT BATTLE,On Beat,2022,FOB,2022-08-30,3660
PHILLIE.45,BANDAN,ON BEAT BATTLE,On Beat,2022,FOB,2022-08-30,6122
PHASENKIND,LUG SERIOUS,ON BEAT BATTLE,On Beat,2022,FOB,2022-08-30,8684
Jeystone,Jesazz K,Battle,Accapella,2022,DUDL,2022-08-27,8075
BURST,KAIRUZO,ON BEAT BATTLE,On Beat,2022,FOB,2022-08-26,1862
REQUIEM,HEYZEN,ON BEAT BATTLE,On Beat,2022,FOB,2022-08-25,6402
SnakeHeadRhyme,D-Kay,Battle,Accapella,2022,DUDL,2022-08-20,10591
T-Way,Tobi High, Splash! Festival,On Beat,2022,DLTLLY,2022-08-19,21372
VYRUS,JOLLE (BATTLE UM PLATZ 3),FREESTYLE BATTLE,Accapella,2022,FOB,2022-08-18,4388
NOTYZZE,CRAZE  (BONUS BATTLE),FREESTYLE BATTLE,Accapella,2022,FOB,2022-08-18,10738
CRAZE,PATO G (FINALE),FREESTYLE BATTLE,Accapella,2022,FOB,2022-08-18,5415
Vorstadtflokati,Latik,Battle,Accapella,2022,DUDL,2022-08-13,6234
STEEL,MC COLOGNE,ON BEAT BATTLE,On Beat,2022,FOB,2022-08-12,15252
Holu,Mazzikaner,Battle,Accapella,2022,DUDL,2022-08-06,5575
Julo,Cashus K.,Battle,Accapella,2022,DUDL,2022-07-30,8397
Alko,Bilal,Battle,Accapella,2022,DUDL,2022-07-23,10344
LevRudi,Jesazz K,Battle,Accapella,2022,DUDL,2022-07-16,10951
KOOZY,KAIRUZO,ON BEAT BATTLE,On Beat,2022,FOB,2022-07-14,11768
NOTYZZE,YAAMANN,FREESTYLE BATTLE,Accapella,2022,FOB,2022-07-14,7106
NOTYZZE,PHASENKIND,FREESTYLE BATTLE,Accapella,2022,FOB,2022-07-14,5547
KALP ONE,FREEKNO,ACAPELLA BATTLE,Accapella,2022,FOB,2022-07-14,3444
BARETTA,OREGANO,ACAPELLA BATTLE,Accapella,2022,FOB,2022-07-14,4438
DOCMO,BEZEY,FREESTYLE BATTLE,Accapella,2022,FOB,2022-07-14,1098
Mars B.,Neilz,Backstage München,Accapella,2022,DLTLLY,2022-07-10,82060
Shizu,Tao,Backstage München,Accapella,2022,DLTLLY,2022-07-10,23807
Hiding John,Neilz,Battle,Accapella,2022,DUDL,2022-07-09,56504
Robscure,Falki,MAYhem 5 Festsaal Kreuzberg,Accapella,2022,DLTLLY,2022-07-02,54022
McLuvin,GR8,Battle,Accapella,2022,DUDL,2022-07-02,9264
MIKESH,SSYNIC,MAYhem #5,Accapella,2022,DLTLLY,2022-07-02,368227
ROBEAZY,M.F.L.,ACAPELLA BATTLE,Accapella,2022,FOB,2022-06-30,1872
Béla Garbage,Franz Flaute,Battle,Accapella,2022,DUDL,2022-06-25,9521
DASCHA,PATO G,FREESTYLE BATTLE,Accapella,2022,FOB,2022-06-24,2335
PESC,LEOQUENT,ACAPELLA BATTLE,Accapella,2022,FOB,2022-06-21,1718
MORGANA,TECEY,ACAPELLA BATTLE,Accapella,2022,FOB,2022-06-20,3379
Pablo2k,Jeystone,Battle,Accapella,2022,DUDL,2022-06-18,8476
OREGANO,FAIVEL,ACAPELLA BATTLE,Accapella,2022,FOB,2022-06-17,5507
ZinZity,Karanova,Battle,Accapella,2022,DUDL,2022-06-11,47885
LATIK,NIKA,ACAPELLA BATTLE,Accapella,2022,FOB,2022-06-04,2598
Django,Zeuge,Battle,Accapella,2022,DUDL,2022-06-04,12201
NICK SHIT,EZRA,ACAPELLA BATTLE,Accapella,2022,FOB,2022-05-31,1436
Kiruma,BunGee,Battle,Accapella,2022,DUDL,2022-05-28,15890
ALKO,EMBA,ON BEAT BATTLE,On Beat,2022,FOB,2022-05-24,4342
Deytona,Maka,Spektakulum Düsseldorf,Accapella,2022,DLTLLY,2022-05-06,18541
Hiding John,Julo,Spektakulum Düsseldorf,Accapella,2022,DLTLLY,2022-05-06,42237
LITTLE SEDO,MALIK (NEWCOMER BATTLE),ACAPELLA BATTLE,Accapella,2022,FOB,2022-04-28,1986
OREGANO,BUNNEE (NEWCOMER BATTLE),ACAPELLA BATTLE,Accapella,2022,FOB,2022-04-22,2852
NICK SHIT,BARETTA (NEWCOMER BATTLE),ACAPELLA BATTLE,Accapella,2022,FOB,2022-04-15,1458
CRAZYO,M.F.L. (NEWCOMER BATTLE),ACAPELLA BATTLE,Accapella,2022,FOB,2022-04-08,1799
PESC,LEOQUENT (NEWCOMER BATTLE),ACAPELLA BATTLE,Accapella,2022,FOB,2022-03-25,1589
FROZEN,EZRA (NEWCOMER BATTLE),ACAPELLA BATTLE,Accapella,2022,FOB,2022-03-24,1619
BURST,A-RON,ON BEAT BATTLE,On Beat,2022,FOB,2022-02-09,2640
FREEZY,DESPO,ON BEAT BATTLE,On Beat,2022,FOB,2022-02-04,5698
ZEPTAH,PHILLIE.45,ON BEAT BATTLE,On Beat,2022,FOB,2022-02-04,5241
KAIRUZO,FROZEN,ON BEAT BATTLE,On Beat,2022,FOB,2022-02-02,3567
BANDAN,T-WAY,ON BEAT BATTLE,On Beat,2022,FOB,2022-01-31,4366
LATIK,TEACH,ACAPELLA BATTLE,Accapella,2022,FOB,2022-01-30,4632
TOLLSCHOCK,BURST,ACAPELLA BATTLE,Accapella,2022,FOB,2022-01-27,6161
Joseph Steinschleuder,Tobi High,Battle,Accapella,2021,DUDL,2022-01-08,53315
T-Way,Karanova,Battle,Accapella,2021,DUDL,2022-01-01,24660
Lug Serious,Zeuge,Battle,Accapella,2021,DUDL,2021-12-25,11504
MADAME CHAOT,REQUIEM,ACAPELLA BATTLE,Accapella,2021,FOB,2021-12-23,17938
Craze,ZinZity,NRWeekend 5,Accapella,2021,DLTLLY,2021-12-19,122341
Khacoby,DeeLah,NRWeekend 5,Accapella,2021,DLTLLY,2021-12-19,44906
Mc Geuner,Phasenkind,NRWeekend 5,Accapella,2021,DLTLLY,2021-12-19,32838
Maka,Heinz87,NRWeekend 5,Accapella,2021,DLTLLY,2021-12-19,15931
Herr Sören,Holu,Battle,Accapella,2021,DUDL,2021-12-18,8947
Joe Pharo,Kid Soldier,Battle,Accapella,2021,DUDL,2021-12-11,34882
Wolff,MC Geuner,Battle,Accapella,2021,DUDL,2021-12-04,27220
Niza,Devasberg,NRWeekend 5,Accapella,2021,DLTLLY,2021-12-03,17373
Phasenkind,SnakeHeadRhyme,Battle,Accapella,2021,DUDL,2021-11-27,15194
Julo,Gerro,NRWeekend 5,Accapella,2021,DLTLLY,2021-11-21,27745
Latik,Julo,Battle,Accapella,2021,DUDL,2021-11-20,6437
EKHEAD,PESC,ACAPELLA BATTLE,Accapella,2021,FOB,2021-11-18,3538
DEMUTRAS,REQUIEM,ACAPELLA BATTLE,Accapella,2021,FOB,2021-11-18,3021
Requiem,Malik,Battle,Accapella,2021,DUDL,2021-11-12,8060
Schlawin0r,Franciss,Battle,Accapella,2021,DUDL,2021-11-06,6680
MC Rabiat,P.S. Jiggy,Battle,Accapella,2021,DUDL,2021-10-29,9474
TRIPLE (TRIPLEBEAT),DASCHA,ACAPELLA BATTLE,Accapella,2021,FOB,2021-10-24,8628
DESPO,DOCMO,ACAPELLA BATTLE,Accapella,2020,FOB,2021-10-24,3166
LEANDERS,TEACH,ACAPELLA BATTLE,Accapella,2021,FOB,2021-10-24,5455
LATIK,TECEY,ACAPELLA BATTLE,Accapella,2021,FOB,2021-10-24,4411
DESPO & LEANDERS,BANDAN & RINGELNATZ,ACAPELLA BATTLE,Accapella,2021,FOB,2021-10-24,6829
MUSIO,NATIF,ACAPELLA BATTLE,Accapella,2021,FOB,2021-10-24,7536
MC GEUNER,JULO,ACAPELLA BATTLE,Accapella,2021,FOB,2021-10-24,16278
DESPO,MC COLOGNE,ON BEAT BATTLE,On Beat,2021,FOB,2021-10-24,2467
RALLE,DASCHA,ACAPELLA BATTLE,Accapella,2020,FOB,2021-10-24,3773
Phasenkind,Ferry,Hidden Gems 2,Accapella,2021,DLTLLY,2021-06-13,13715
Karanova,YAMANN,STREET BATTLES 2021,Accapella,2021,DLTLLY,2021-03-07,13492
Falki,Phasenkind,Video Battle,On Beat,2021,DLTLLY,2021-02-07,31725
DOC,Gerro (aka RenetixX),Video Battle,On Beat,2021,DLTLLY,2021-02-07,10871
Wandelbarz,YAAMANN,Video Battle,On Beat,2021,DLTLLY,2021-02-07,17381
Khacoby,Peat,Video Battle,On Beat,2021,DLTLLY,2021-01-24,65142
Holu,Kairuzo,ExtraMatch,Accapella,2020,DLTLLY,2020-11-27,9142
Kato,N'antinein,B.Day#7,Accapella,2020,DLTLLY,2020-11-01,57451
DeeLah,Mars B.,B.Day#7,Accapella,2020,DLTLLY,2020-10-25,58781
Joe Pharo,Hiding John,B.Day#7,Accapella,2020,DLTLLY,2020-10-18,55692
Karma,Khacoby,B.Day#7,Accapella,2020,DLTLLY,2020-10-11,46613
Joseph Steinschleuder,Indoor Stan,Panke,Accapella,2020,DLTLLY,2020-10-04,48001
Brian Damage,Craze,Panke,Accapella,2020,DLTLLY,2020-09-27,42887
Steel,Karanova,Panke,Accapella,2020,DLTLLY,2020-09-13,19421
Bong Teggy,Robscure,Panke,Accapella,2020,DLTLLY,2020-08-16,52938
Vorstadtflokati,Shizu,Panke,Accapella,2020,DLTLLY,2020-08-14,9502
Kid Soldier,Hiding John,Panke,Accapella,2020,DLTLLY,2020-08-09,45143
Falk,Karanova,Virtual  Battle,On Beat,2020,DLTLLY,2020-08-02,21649
Phasenkind,Peat,Virtual  Battle,On Beat,2020,DLTLLY,2020-07-26,30167
Kato,Mr. Whyte,Fussball Battle,Accapella,2020,DLTLLY,2020-07-19,27908
Papi Schlauch,Master Marv,could not identify event,Accapella,2020,DLTLLY,2020-07-03,15154
Khacoby,Notyzze,Corona Battle Package,Accapella,2020,DLTLLY,2020-06-28,27487
Mars B.,BX,Corona Battle Package,Accapella,2020,DLTLLY,2020-06-26,11082
Craze,Burst,English 1 Rounder,Accapella,2020,DLTLLY,2020-06-23,6202
Falk,Ano-nym,OnlineBattle,Accapella,2020,DLTLLY,2020-06-21,51645
Zeptah,Gammel,OnlineBattle,Accapella,2020,DLTLLY,2020-06-14,9321
