Name #1,Name #2,Event,Type,Year,Channel,Uploaded,Views
KRISO,ILYA FLOYD,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-31,1181
Barbee & Flow,Fate & Joseph Steinschleuder,2on2  Wien,Accapella,2023,DLTLLY,2023-12-30,16237
Onkel Oktomusch,Jindo109,  Dortmund,Accapella,2023,DLTLLY,2023-12-30,57602
Mc Geuner,T-Way,  Dortmund,Accapella,2023,DLTLLY,2023-12-30,16605
Bilal,Joseph Steinschleuder,Battle,Accapella,2023,DUDL,2023-12-30,7023
Neilz,Kiruma,  Dortmund,Accapella,2023,DLTLLY,2023-12-30,22972
Flashus Christus,K9NE,  Wien,Accapella,2023,DLTLLY,2023-12-30,6424
Notyzze,BanDan,  Wien,On Beat,2023,DLTLLY,2023-12-30,14025
Liuz,Herr Kuchen,  Dortmund,Accapella,2023,DLTLLY,2023-12-30,35111
LUCKYLILY & BAYZE,CRAZE & MOITZ,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-28,17386
MORGANA,ZEPTAH,ON BEAT BATTLE,On Beat,2023,FOB,2023-12-26,4762
Karkobi,Requiem,  Wien,Accapella,2023,DLTLLY,2023-12-24,25273
Kane,David Ardor,Battle,Accapella,2023,DUDL,2023-12-23,2585
CLOCKWORK,CSN GALACTICO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-21,3399
SNAKEHEADRHYME,A-RON,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-17,8030
KIRUMA,HIDING JOHN,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-17,33276
SHAOLUM,EZRA,ONE-ROUNDER,Accapella,2023,FOB,2023-12-10,3316
KvW,Jilly,Battle,Accapella,2023,DUDL,2023-12-09,3860
Flashus Christus,K9NE,  Wien,Accapella,2023,DLTLLY,2023-12-08,6305
FREEKNO,MORGANA,ACAPELLA BATTLE,Accapella,2023,FOB,2023-12-08,5530
VYRUS,KARANOVA,ON BEAT BATTLE,On Beat,2023,FOB,2023-12-01,23861
MOODY,TECEY,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-26,3246
Schalle,Shortworth,  Wien,Accapella,2023,DLTLLY,2023-11-24,11399
JOE PHARO,LITTLE SEDO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-24,8547
Duff,Joe Pharo,  Dortmund,Accapella,2023,DLTLLY,2023-11-22,22591
NASTIC,STEEL,ON BEAT BATTLE,On Beat,2023,FOB,2023-11-19,24201
Belial,Julo,  Dortmund,Accapella,2023,DLTLLY,2023-11-16,25774
Wenzel Washington,Davis,  Wien,Accapella,2023,DLTLLY,2023-11-16,11066
JEPAIN,CELUNE,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-16,6391
Grandmaster Flow,Kalp One,  Wien,Accapella,2023,DLTLLY,2023-11-16,7417
BAYZE,M.F.L.,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-12,5724
KOOZY,ZEPTAH,ON BEAT BATTLE,On Beat,2023,FOB,2023-11-10,7758
LUCKYLILY,IKKS,ACAPELLA BATTLE,Accapella,2023,FOB,2023-11-10,7542
