Name #1,Name #2,Event,Type,Year,Channel,Uploaded,URL,ID,Views
Joseph Steinschleuder,Pamflit,International  NRWeekend 8,Accapella,2025,DLTLLY,2025-06-07,https://www.youtube.com/watch?v=uXTSyzP-XI0,uXTSyzP-XI0,15202
EYNAK,WANDELBARZ,RAP BATTLE,Accapella,2025,FOB,2025-06-06,https://www.youtube.com/watch?v=R81FPAW0Cy8,R81FPAW0Cy8,6317
Ticc,Mordrake,Only! Panke Berlin,On Beat,2025,DLTLLY,2025-06-05,https://www.youtube.com/watch?v=KCDHP8wl1RM,KCDHP8wl1RM,6896
Ryko-J,LuckyLily,INTERVIEW NRWeekend 8,Accapella,2025,DLTLLY,2025-06-01,https://www.youtube.com/watch?v=9gVR1RPK4cY,9gVR1RPK4cY,7605
YUMI,DER SANDMANN,RAP BATTLE,Accapella,2025,FOB,2025-06-01,https://www.youtube.com/watch?v=NCYKUvpxs-s,NCYKUvpxs-s,4050
RYKO-J,LUCKYLILY,  NRWeekend 8,Accapella,2025,DLTLLY,2025-06-01,https://www.youtube.com/watch?v=QApiZWI3i6U,QApiZWI3i6U,32787
H1,MÄST,RAP BATTLE,Accapella,2025,FOB,2025-05-30,https://www.youtube.com/watch?v=KiFGlNKnLw8,KiFGlNKnLw8,5005
Gerro,TOKZ,  Berlin,On Beat,2025,DLTLLY,2025-05-29,https://www.youtube.com/watch?v=qO64q_vBrqU,qO64q_vBrqU,8861
Vyrus,Snakeheadrhyme,INTERVIEW NRWeekend 8,Accapella,2025,DLTLLY,2025-05-25,https://www.youtube.com/watch?v=HzaSD52w0qw,HzaSD52w0qw,1785
Vyrus,Snakeheadrhyme,  NRWeekend 8,Accapella,2025,DLTLLY,2025-05-25,https://www.youtube.com/watch?v=TaYG3fYqX6c,TaYG3fYqX6c,22870
VON FELIX,TESSTIMONY,RAP BATTLE,Accapella,2025,FOB,2025-05-25,https://www.youtube.com/watch?v=L51lZHRiuYc,L51lZHRiuYc,6636
