Name #1,Name #2,Event,Type,Year,Channel,Uploaded,URL,ID,Views
Ticc,Mordrake,Only! Panke Berlin,On Beat,2025,DLTLLY,2025-06-05,https://www.youtube.com/watch?v=KCDHP8wl1RM,KCDHP8wl1RM,3377
YUMI,DER SANDMANN,RAP BATTLE,Accapella,2025,FOB,2025-06-01,https://www.youtube.com/watch?v=NCYKUvpxs-s,NCYKUvpxs-s,3688
RYKO-J,LUCKYLILY,  NRWeekend 8,Accapella,2025,DLTLLY,2025-06-01,https://www.youtube.com/watch?v=QApiZWI3i6U,QApiZWI3i6U,30873
Ryko-J,LuckyLily,INTERVIEW NRWeekend 8,Accapella,2025,DLTLLY,2025-06-01,https://www.youtube.com/watch?v=9gVR1RPK4cY,9gVR1RPK4cY,7231
H1,MÄST,RAP BATTLE,Accapella,2025,FOB,2025-05-30,https://www.youtube.com/watch?v=KiFGlNKnLw8,KiFGlNKnLw8,4785
Gerro,TOKZ,  Berlin,On Beat,2025,DLTLLY,2025-05-29,https://www.youtube.com/watch?v=qO64q_vBrqU,qO64q_vBrqU,8283.0
VON FELIX,TESSTIMONY,RAP BATTLE,Accapella,2025,FOB,2025-05-25,https://www.youtube.com/watch?v=L51lZHRiuYc,L51lZHRiuYc,6451
Vyrus,Snakeheadrhyme,  NRWeekend 8,Accapella,2025,DLTLLY,2025-05-25,https://www.youtube.com/watch?v=TaYG3fYqX6c,TaYG3fYqX6c,22400.0
Vyrus,Snakeheadrhyme,INTERVIEW NRWeekend 8,Accapella,2025,DLTLLY,2025-05-25,https://www.youtube.com/watch?v=HzaSD52w0qw,HzaSD52w0qw,1754.0
AMS,KAZRAEL,RAP BATTLE,Accapella,2025,FOB,2025-05-23,https://www.youtube.com/watch?v=Ioq_13OB1Vg,Ioq_13OB1Vg,5714
Herr Sören,Johnny Schewski,Battle Panke Berlin,On Beat,2025,DLTLLY,2025-05-22,https://www.youtube.com/watch?v=5QWp-ZmPxFw,5QWp-ZmPxFw,6338.0
Unanymous,Jeevz,International  NRWeekend 8,Accapella,2025,DLTLLY,2025-05-18,https://www.youtube.com/watch?v=f3JE-AzU-0c,f3JE-AzU-0c,7330.0
JERRY VSAN,MZUDEMK,RAP BATTLE,Accapella,2025,FOB,2025-05-16,https://www.youtube.com/watch?v=9T_8MnL4888,9T_8MnL4888,9167
🏆 PPV OUT NOW - MIT TITLE MATCH STEEL,MORGANA VYRUS YUAH REQUIEM UVM.,could not identify event,Accapella,2025,FOB,2025-05-15,https://www.youtube.com/watch?v=8SKi-c2pj1c,8SKi-c2pj1c,6123
Capco Jones,Heinz87,  Kassel,Accapella,2025,DLTLLY,2025-05-15,https://www.youtube.com/watch?v=qG0_r9p6Muc,qG0_r9p6Muc,8498.0
Zeuge,Moody,NRWeekend 8,Accapella,2025,DLTLLY,2025-05-11,https://www.youtube.com/watch?v=TXyS6b-GDFE,TXyS6b-GDFE,15577.0
JÄL,SHAWN MORENO,RAP BATTLE,Accapella,2025,FOB,2025-05-09,https://www.youtube.com/watch?v=HotnxCt_Y98,HotnxCt_Y98,7199
RIMA,TRACY,RAP BATTLE,Accapella,2025,FOB,2025-05-04,https://www.youtube.com/watch?v=BGPIQFIZTa8,BGPIQFIZTa8,7296
